ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
95.181.160.39,80,http,no,elite,DE,Germany,Frankfurt am Main,Aeza International LTD,AS210644 AEZA GROUP LLC,23,4,98,2074,2026-08-20T17:36:20.2271651Z,2026-08-20T17:36:20.2271651Z
103.237.102.191,11111,http,yes,elite,DE,Germany,Frankfurt am Main,Franet,AS62610 Zenlayer Inc,33,4,99.2,5040,2026-08-20T17:38:32.5773305Z,2026-08-20T17:38:32.5773305Z
47.91.65.23,3128,http,no,transparent,DE,Germany,Frankfurt am Main,ALICLOUD-GM,"AS45102 Alibaba (US) Technology Co., Ltd.",34,4,95.4,5071,2026-08-20T17:39:12.3780052Z,2026-08-20T17:39:12.3780052Z
109.199.119.160,80,http,no,elite,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,41,7,98.9,5096,2026-08-20T17:35:19.7146500Z,2026-08-20T17:35:19.7146500Z
204.76.203.9,8080,http,yes,elite,NL,The Netherlands,Eygelshoven,Intelligence Hosting LLC,AS51396 Pfcloud UG,47,14,99.8,1778,2026-08-20T17:39:06.8031886Z,2026-08-20T17:39:06.8031886Z
213.33.126.130,80,http,no,elite,,,,,,53,26,99.5,1739,2026-08-20T17:37:09.8109148Z,2026-08-20T17:37:09.8109148Z
206.245.131.160,80,http,no,elite,FR,France,Paris,Baxet Group Inc,AS26383 Baxet Group Inc.,66,13,99.9,5084,2026-08-20T17:37:09.8112592Z,2026-08-20T17:37:09.8112592Z
178.212.144.7,80,http,no,transparent,PL,Poland,Sokółka,,,69,34,99.7,5075,2026-08-20T17:35:32.5832478Z,2026-08-20T17:35:32.5832478Z
144.124.232.204,1080,socks5,yes,elite,NL,The Netherlands,Amsterdam,Servers Tech Fzco,AS216071 SERVERS TECH FZCO,75,11,29.1,494,2026-08-20T17:36:32.6077406Z,2026-08-20T17:36:32.6077406Z
204.76.203.9,3128,http,yes,elite,NL,The Netherlands,Eygelshoven,Intelligence Hosting LLC,AS51396 Pfcloud UG,79,12,99.9,3900,2026-08-20T17:38:32.6302042Z,2026-08-20T17:38:32.6302042Z
95.211.174.135,3128,http,yes,anonymous,NL,The Netherlands,Haarlem,LeaseWeb Netherlands B.V.,AS60781 LeaseWeb Netherlands B.V.,82,16,77.9,2948,2026-08-20T17:39:06.8397454Z,2026-08-20T17:39:06.8397454Z
141.98.153.86,80,http,no,elite,DE,Germany,Karlsruhe,Contabo GmbH,AS51167 Contabo GmbH,93,4,77.9,1934,2026-08-20T17:39:06.8393462Z,2026-08-20T17:39:06.8393462Z
94.78.67.171,80,http,no,transparent,CY,Cyprus,Kyrenia,Netonline Bilisim Sirketi LTD,AS44558 Netonline Bilisim Sirketi LTD,110,54,99.9,5085,2026-08-20T17:39:12.5034231Z,2026-08-20T17:39:12.5034231Z
185.135.69.34,80,http,no,transparent,IQ,Iraq,Baghdad,Giganet Telecom,AS205889 Giga Nineveh for internet services Ltd,139,70,99.4,5011,2026-08-20T17:39:12.5491012Z,2026-08-20T17:39:12.5491012Z
116.202.108.111,3128,http,no,transparent,DE,Germany,Falkenstein,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,163,2,98.6,5020,2026-08-20T17:39:58.0347682Z,2026-08-20T17:39:58.0347682Z
