ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
5.189.159.180,80,http,yes,anonymous,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,52,6,82.5,40,2026-08-12T05:42:19.3839974Z,2026-08-12T05:42:19.3839974Z
147.45.166.120,3333,http,yes,anonymous,NL,The Netherlands,Amsterdam,"JSC ""TIMEWEB""","AS210976 Timeweb, LLP",53,10,98.7,1523,2026-08-12T05:42:53.8252298Z,2026-08-12T05:42:53.8252298Z
91.236.153.5,3128,http,yes,anonymous,FR,France,Lille,Direct Info Service Sarl,AS20986 EasyTeam SAS,102,15,84.1,1828,2026-08-12T05:43:43.9199127Z,2026-08-12T05:43:43.9199127Z
109.164.35.23,8888,http,yes,anonymous,CZ,Czechia,Prague,PacketHub S.A,AS136787 PacketHub S.A.,186,13,61.5,91,2026-08-12T05:43:15.7735125Z,2026-08-12T05:43:15.7735125Z
157.230.178.216,8080,http,yes,anonymous,US,United States,North Bergen,"DigitalOcean, LLC","AS14061 DigitalOcean, LLC",463,167,84.7,432,2026-08-12T05:41:46.6995398Z,2026-08-12T05:41:46.6995398Z
157.230.178.216,40000,http,yes,anonymous,US,United States,North Bergen,"DigitalOcean, LLC","AS14061 DigitalOcean, LLC",550,149,92.6,269,2026-08-12T05:41:24.3666595Z,2026-08-12T05:41:24.3666595Z
34.101.184.164,3128,http,yes,anonymous,ID,Indonesia,Jakarta,Google Cloud (asia-southeast2),AS15169 Google LLC,843,205,45.5,640,2026-08-12T05:40:56.6586744Z,2026-08-12T05:40:56.6586744Z
123.60.155.1,3128,http,yes,anonymous,CN,China,Shanghai,Huawei Cloud Service,AS55990 Huawei Cloud Service data center,965,207,62.4,1439,2026-08-12T05:43:39.2353151Z,2026-08-12T05:43:39.2353151Z
14.139.235.82,3128,http,yes,anonymous,IN,India,Priol,NIB,AS9829 National Internet Backbone,1746,196,97.1,1107,2026-08-12T05:44:48.0957622Z,2026-08-12T05:44:48.0957622Z
79.137.192.65,30081,http,yes,anonymous,RU,Russia,St Petersburg,Comfortel Ltd,AS44559 IT HOSTLINE LTD,3778,47,66.9,850,2026-08-12T05:43:30.8224258Z,2026-08-12T05:43:30.8224258Z
