ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
213.157.6.50,80,http,no,elite,DE,Germany,Dieburg,ENTEGA Medianet GmbH,AS12897 ENTEGA Medianet GmbH,17,8,99.9,3394,2026-09-07T12:50:00.8909496Z,2026-09-07T12:50:00.8909496Z
157.90.10.50,999,http,no,elite,DE,Germany,Falkenstein,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,20,5,96.4,686,2026-09-07T12:46:26.7153676Z,2026-09-07T12:46:26.7153676Z
157.90.10.50,80,http,no,elite,DE,Germany,Falkenstein,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,21,3,97.9,2932,2026-09-07T12:49:14.9039337Z,2026-09-07T12:49:14.9039337Z
157.90.10.50,5955,http,no,elite,DE,Germany,Falkenstein,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,23,3,96.6,655,2026-09-07T12:47:31.9152749Z,2026-09-07T12:47:31.9152749Z
103.237.102.191,11111,http,yes,elite,DE,Germany,Frankfurt am Main,Franet,AS62610 Zenlayer Inc,24,4,98.6,10160,2026-09-07T12:46:13.8877500Z,2026-09-07T12:46:13.8877500Z
157.90.10.50,8888,http,no,elite,DE,Germany,Falkenstein,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,28,2,97.7,2971,2026-09-07T12:47:09.0050424Z,2026-09-07T12:47:09.0050424Z
157.90.10.50,8080,http,no,elite,DE,Germany,Falkenstein,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,30,3,97.7,1874,2026-09-07T12:46:03.1390721Z,2026-09-07T12:46:03.1390721Z
109.199.119.160,80,http,no,elite,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,48,6,99.3,10171,2026-09-07T12:50:00.9200365Z,2026-09-07T12:50:00.9200365Z
116.202.172.187,11000,http,yes,elite,DE,Germany,Falkenstein,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,52,14,99.2,2255,2026-09-07T12:45:21.9014424Z,2026-09-07T12:45:21.9014424Z
213.33.126.130,80,http,no,elite,AT,Austria,Vienna,Telekom Austria TA AG,AS8447 A1 Telekom Austria AG,52,25,99.9,6805,2026-09-07T12:50:00.9431014Z,2026-09-07T12:50:00.9431014Z
195.26.224.135,80,http,no,elite,NL,The Netherlands,Amsterdam,Servers Tech Fzco,AS216071 SERVERS TECH FZCO,72,17,88.8,8710,2026-09-07T12:47:08.1186736Z,2026-09-07T12:47:08.1186736Z
66.151.34.89,80,http,no,elite,FI,Finland,Helsinki,Hostkey B.V,AS57043 HOSTKEY B.V.,142,32,96.9,648,2026-09-07T12:47:14.3401133Z,2026-09-07T12:47:14.3401133Z
31.76.51.152,80,http,no,elite,FI,Finland,Helsinki,Xorek.Cloud Helsinki,AS215590 DpkgSoft International Limited,143,31,100,643,2026-09-07T12:45:22.0102148Z,2026-09-07T12:45:22.0102148Z
206.245.131.160,80,http,no,elite,FR,France,Paris,Baxet Group Inc,AS26383 Baxet Group Inc.,147,13,96.1,10138,2026-09-07T12:46:21.5708173Z,2026-09-07T12:46:21.5708173Z
5.45.126.128,8080,http,no,elite,EE,Estonia,Jõhvi,Hosting Services,AS198068 P.A.G.M. OU,159,34,90.1,10268,2026-09-07T12:49:20.6915049Z,2026-09-07T12:49:20.6915049Z
135.181.79.187,40001,http,yes,elite,FI,Finland,Helsinki,Cloudflare WARP,"AS13335 Cloudflare, Inc.",199,28,96.8,570,2026-09-07T12:44:50.2975442Z,2026-09-07T12:44:50.2975442Z
46.47.197.210,3128,http,no,elite,RU,Russia,St Petersburg,JSC PeterStar,AS20632 PJSC MegaFon,203,36,97.9,10133,2026-09-07T12:45:20.3999279Z,2026-09-07T12:45:20.3999279Z
5.129.254.60,8888,http,yes,elite,RU,Russia,Moscow,"JSC ""TIMEWEB""",AS9123 JSC TIMEWEB,211,34,100,51,2026-09-07T12:48:41.0089099Z,2026-09-07T12:48:41.0089099Z
202.133.88.173,80,http,no,elite,FR,France,Paris,Deployish Limited,AS212552 BitCommand LLC,240,1080,92.1,9521,2026-09-07T12:45:51.7172377Z,2026-09-07T12:45:51.7172377Z
185.200.188.234,10001,http,yes,elite,RU,Russia,Moscow,Gorizont LLC,AS209641 IHOR HOSTING LTD,244,57,99.6,9847,2026-09-07T12:49:15.1811747Z,2026-09-07T12:49:15.1811747Z
196.1.95.124,80,http,no,elite,SN,Senegal,Dakar,Ensut-Computer Department,AS329407 Universite Cheikh Anta DIOP de DAKAR,306,72,98.2,164,2026-09-07T12:46:38.2860165Z,2026-09-07T12:46:38.2860165Z
188.165.199.207,80,http,no,elite,FR,France,Roubaix,OVH SAS,AS16276 OVH SAS,324,13,65.2,3540,2026-09-07T12:48:56.2993292Z,2026-09-07T12:48:56.2993292Z
108.165.184.58,443,http,yes,elite,US,United States,New York,InterLIR LLC,AS395839 HOSTKEY,370,87,88.1,84,2026-09-07T12:48:34.6431113Z,2026-09-07T12:48:34.6431113Z
159.65.245.255,80,http,no,elite,US,United States,Clifton,"DigitalOcean, LLC","AS14061 DigitalOcean, LLC",376,87,88.9,9199,2026-09-07T12:50:03.2386333Z,2026-09-07T12:50:03.2386333Z
174.138.119.88,80,http,no,elite,US,United States,Clifton,Digital Ocean,"AS14061 DigitalOcean, LLC",379,87,92.1,10439,2026-09-07T12:47:45.2807806Z,2026-09-07T12:47:45.2807806Z
64.112.184.210,3128,http,yes,elite,US,United States,Richmond,HOSTEDBACKBONE,AS14713 Hosted Backbone,395,95,98.4,10180,2026-09-07T12:45:26.1879992Z,2026-09-07T12:45:26.1879992Z
32.223.6.94,80,http,no,elite,US,United States,Danbury,Frontier and Connecticut Connected Network,AS46690 Verizon Business,396,192,99.7,10128,2026-09-07T12:46:02.8644282Z,2026-09-07T12:46:02.8644282Z
47.85.161.37,3128,http,no,elite,US,United States,Charlottesville,"Midwest Cable, Delta Centric LLC, Zenlayer Inc","AS45102 Alibaba (US) Technology Co., Ltd.",396,93,99.6,9268,2026-09-07T12:46:08.6302028Z,2026-09-07T12:46:08.6302028Z
199.7.149.96,3128,http,yes,elite,US,United States,Stratford,EXO BROADBAND,AS400859 EXO BROADBAND,422,103,100,4909,2026-09-07T12:49:21.0242978Z,2026-09-07T12:49:21.0242978Z
178.156.147.172,40001,http,yes,elite,US,United States,Washington,Cloudflare WARP,"AS13335 Cloudflare, Inc.",423,103,90.3,124,2026-09-07T12:44:45.0129515Z,2026-09-07T12:44:45.0129515Z
50.122.86.118,80,http,no,elite,US,United States,Bloomington,Frontier and Citizens Connected Network,"AS5650 Frontier Communications of America, Inc.",446,236,99.8,10060,2026-09-07T12:49:08.9053528Z,2026-09-07T12:49:08.9053528Z
156.67.110.124,10808,http,yes,elite,IN,India,Mumbai,Contabo GmbH,AS141995 Contabo Asia Private Limited,501,124,74.1,673,2026-09-07T12:47:38.7710120Z,2026-09-07T12:47:38.7710120Z
47.91.104.88,3128,http,no,elite,AE,United Arab Emirates,Dubai,ALICLOUD-UAE,"AS45102 Alibaba (US) Technology Co., Ltd.",515,126,99.8,9704,2026-09-07T12:48:02.9573102Z,2026-09-07T12:48:02.9573102Z
195.158.8.123,3128,http,yes,elite,UZ,Uzbekistan,Tashkent,Uztelecom,"AS8193 ""Uzbektelekom"" Joint Stock Company",520,97,75.6,6454,2026-09-07T12:47:52.0925256Z,2026-09-07T12:47:52.0925256Z
34.166.25.120,8080,http,yes,elite,SA,Saudi Arabia,Dammam,Google Cloud,AS396982 Google LLC,541,99,100,6677,2026-09-07T12:47:20.6675225Z,2026-09-07T12:47:20.6675225Z
34.44.49.215,80,http,no,elite,US,United States,Council Bluffs,Google Cloud (us-central1),AS396982 Google LLC,551,131,99.8,10138,2026-09-07T12:49:08.9053214Z,2026-09-07T12:49:08.9053214Z
111.206.4.163,18888,http,yes,elite,CN,China,Jinrongjie,China Unicom Beijing Province Network,AS4808 China Unicom Beijing Province Network,590,181,95.1,1614,2026-09-07T12:48:14.9699815Z,2026-09-07T12:48:14.9699815Z
107.181.252.58,1082,http,yes,elite,US,United States,Ogden,Webnx Inc,"AS53850 GorillaServers, Inc.",596,141,100,497,2026-09-07T12:46:50.3316162Z,2026-09-07T12:46:50.3316162Z
140.99.255.67,3128,http,yes,elite,US,United States,Los Angeles,Ipxo LLC,AS63023 GTHost,614,150,97.6,1608,2026-09-07T12:49:08.9871596Z,2026-09-07T12:49:08.9871596Z
140.99.255.67,8181,http,yes,elite,US,United States,Los Angeles,Ipxo LLC,AS63023 GTHost,628,150,96.6,1061,2026-09-07T12:48:56.7417295Z,2026-09-07T12:48:56.7417295Z
