ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
128.140.113.110,5678,http,yes,elite,DE,Germany,Falkenstein,Hetzner,AS24940 Hetzner Online GmbH,48,3,17.9,1156,2026-09-17T02:47:41.8485205Z,2026-09-17T02:47:41.8485205Z
103.237.102.191,11111,http,yes,elite,DE,Germany,Frankfurt am Main,Franet,AS62610 Zenlayer Inc,50,6,98.4,12864,2026-09-17T02:50:03.6743780Z,2026-09-17T02:50:03.6743780Z
147.45.234.180,1080,socks4,yes,elite,NL,The Netherlands,Amsterdam,"JSC ""TIMEWEB""","AS210976 Timeweb, LLP",56,1012,77.9,131,2026-09-17T02:46:20.1690263Z,2026-09-17T02:46:20.1690263Z
135.125.232.151,1080,socks5,yes,elite,DE,Germany,Frankfurt am Main,31173 Services Germany,AS39351 31173 Services AB,59,11,92.6,828,2026-09-17T02:47:57.2083007Z,2026-09-17T02:47:57.2083007Z
213.111.146.36,18080,socks5,yes,elite,NL,The Netherlands,Haarlem,Vsys AMS,AS43641 SOLLUTIUM EU Sp z.o.o.,69,11,99.4,154,2026-09-17T02:49:37.4054126Z,2026-09-17T02:49:37.4054126Z
5.175.192.43,1080,socks5,yes,elite,NL,The Netherlands,Eygelshoven,MagicHosting,AS211066 RYZEHOSTING TRADING,93,11,73.8,451,2026-09-17T02:47:57.2422649Z,2026-09-17T02:47:57.2422649Z
185.195.71.218,18080,http,yes,elite,CH,Switzerland,Hünenberg,Datasource AG,AS56803 Datasource AG,97,21,100,413,2026-09-17T02:47:19.9354873Z,2026-09-17T02:47:19.9354873Z
185.32.4.110,4153,socks4,yes,elite,PL,Poland,Chociwel,Core Network Fiber,AS60645 AS Consulting Sp. z o. o.,127,24,35.3,456,2026-09-17T02:45:02.9510594Z,2026-09-17T02:45:02.9510594Z
95.140.159.180,9950,http,yes,elite,SE,Sweden,Spånga,Vultr,"AS20473 The Constant Company, LLC",128,9,86.4,44,2026-09-17T02:47:57.2757103Z,2026-09-17T02:47:57.2757103Z
62.238.56.221,40001,http,yes,elite,FI,Finland,Helsinki,Cloudflare WARP,"AS13335 Cloudflare, Inc.",140,25,100,122,2026-09-17T02:49:26.8035825Z,2026-09-17T02:49:26.8035825Z
77.65.50.118,34159,socks4,yes,elite,PL,Poland,Robakowo,Inea S.A,AS13110 INEA sp. z o.o.,144,26,59.3,243,2026-09-17T02:46:31.4686927Z,2026-09-17T02:46:31.4686927Z
65.109.217.164,3128,http,yes,elite,FI,Finland,Helsinki,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,168,27,81.7,982,2026-09-17T02:45:14.9102906Z,2026-09-17T02:45:14.9102906Z
135.181.79.187,40001,socks5,yes,elite,FI,Finland,Helsinki,Cloudflare WARP,"AS13335 Cloudflare, Inc.",184,27,97.2,2284,2026-09-17T02:46:14.2914340Z,2026-09-17T02:46:14.2914340Z
