ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
47.91.65.23,3128,http,no,transparent,DE,Germany,Frankfurt am Main,ALICLOUD-GM,"AS45102 Alibaba (US) Technology Co., Ltd.",30,4,96.2,11652,2026-09-12T21:52:45.2827684Z,2026-09-12T21:52:45.2827684Z
116.202.108.111,3128,http,no,transparent,DE,Germany,Falkenstein,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,41,3,100,1603,2026-09-12T21:50:09.6161763Z,2026-09-12T21:50:09.6161763Z
193.58.122.93,8118,http,no,transparent,DE,Germany,Frankfurt am Main,Play2go International Limited,AS215439 PLAY2GO INTERNATIONAL LIMITED,46,9,80.8,2803,2026-09-12T21:49:27.4552553Z,2026-09-12T21:49:27.4552553Z
178.212.144.7,80,http,no,transparent,PL,Poland,Sokółka,,,75,37,99.7,11679,2026-09-12T21:54:34.5138865Z,2026-09-12T21:54:34.5138865Z
185.196.68.106,3128,http,no,transparent,SK,Slovakia,Bratislava,1 Cloud Lab s.r.o,AS206110 1 Cloud Lab s.r.o.,86,20,87.9,587,2026-09-12T21:53:24.9642881Z,2026-09-12T21:53:24.9642881Z
94.78.67.171,80,http,no,transparent,CY,Cyprus,Kyrenia,Netonline Bilisim Sirketi LTD,AS44558 Netonline Bilisim Sirketi LTD,120,58,99.9,11680,2026-09-12T21:54:34.5802338Z,2026-09-12T21:54:34.5802338Z
176.111.37.5,39811,http,yes,transparent,UA,Ukraine,Dobropol'ye,Cogento Backbone Limited,AS214743 Cogento Backbone Limited,133,24,97.1,10309,2026-09-12T21:54:34.5580578Z,2026-09-12T21:54:34.5580578Z
185.135.69.34,80,http,no,transparent,IQ,Iraq,Baghdad,Giganet Telecom,AS205889 Giga Nineveh for internet services Ltd,147,75,98.8,11260,2026-09-12T21:53:58.0334047Z,2026-09-12T21:53:58.0334047Z
176.111.37.216,39811,http,yes,transparent,UA,Ukraine,Dobropol'ye,Cogento Backbone Limited,AS214743 Cogento Backbone Limited,177,24,94.1,10171,2026-09-12T21:50:27.5998556Z,2026-09-12T21:50:27.5998556Z
185.191.239.248,3128,http,yes,transparent,CH,Switzerland,Wetzikon,Fidel Ernesto Geronimo Ramirez trading as Geronimo Ramirez Computer Network,AS264617 GRUPO PANAGLOBAL 15 S.A,189,14,91.5,6952,2026-09-12T21:50:27.6003308Z,2026-09-12T21:50:27.6003308Z
91.233.169.23,8081,http,no,transparent,RU,Russia,St Petersburg,Excellent Signalman LLC,AS42765 EXCELLENT SIGNALMAN LLC,207,48,77,5492,2026-09-12T21:50:09.8271832Z,2026-09-12T21:50:09.8271832Z
31.56.65.108,80,http,no,transparent,US,United States,Morehead City,White Sky Hosting,AS46177 White Sky Hosting,238,120,87.5,2825,2026-09-12T21:50:52.3412650Z,2026-09-12T21:50:52.3412650Z
91.228.227.23,80,http,no,transparent,TR,Turkey,Istanbul,Tres Teknoloji,AS214195 Tres Teknoloji A.S.,263,56,92.9,1743,2026-09-12T21:50:27.7188468Z,2026-09-12T21:50:27.7188468Z
95.3.69.222,8080,http,yes,transparent,TR,Turkey,Antakya,TurkTelekom,AS9121 Turk Telekomunikasyon Anonim Sirketi,273,55,99.6,11283,2026-09-12T21:54:12.3428506Z,2026-09-12T21:54:12.3428506Z
185.235.16.12,80,http,no,transparent,SY,Syria,Damascus,Bitakat Company LTD,AS29256 STE PDN Internal AS,327,64,99.4,11582,2026-09-12T21:55:02.5063008Z,2026-09-12T21:55:02.5063008Z
5.200.72.58,3128,http,no,transparent,IR,Iran,Tehran,RESPINA Networks,AS42337 Respina Networks & Beyond PJSC,338,77,82.9,3866,2026-09-12T21:52:29.0287773Z,2026-09-12T21:52:29.0287773Z
130.110.103.245,3128,http,yes,transparent,SA,Saudi Arabia,Jeddah,Oracle Cloud Infrastructure (me-jeddah-1),AS31898 Oracle Corporation,350,66,96.8,9800,2026-09-12T21:54:34.8180097Z,2026-09-12T21:54:34.8180097Z
212.154.169.90,3128,http,yes,transparent,KZ,Kazakhstan,Astana,LLC ?electronic Commerce Center,AS50482 JSC Kazakhtelecom,351,81,99.3,9347,2026-09-12T21:52:51.2620357Z,2026-09-12T21:52:51.2620357Z
5.200.72.62,3128,http,yes,transparent,IR,Iran,Tehran,RESPINA Networks,AS42337 Respina Networks & Beyond PJSC,353,95,83.6,7902,2026-09-12T21:50:22.1433679Z,2026-09-12T21:50:22.1433679Z
142.93.202.130,3128,http,no,transparent,US,United States,North Bergen,"DigitalOcean, LLC","AS14061 DigitalOcean, LLC",359,82,98.7,11720,2026-09-12T21:51:09.2006445Z,2026-09-12T21:51:09.2006445Z
5.200.72.59,3128,http,yes,transparent,IR,Iran,Tehran,RESPINA Networks,AS42337 Respina Networks & Beyond PJSC,360,93,82.8,3922,2026-09-12T21:50:22.1500498Z,2026-09-12T21:50:22.1500498Z
213.131.85.26,1976,http,no,transparent,EG,Egypt,Al Yāsīnīyah,Link Egypt (Link.NET),AS24863 Link Egypt (Link.NET),375,60,62.9,170,2026-09-12T21:53:25.6222486Z,2026-09-12T21:53:25.6222486Z
41.33.126.136,1981,http,no,transparent,EG,Egypt,Cairo,TE Data,AS8452 TE-AS,381,69,26.6,79,2026-09-12T21:50:02.9819116Z,2026-09-12T21:50:02.9819116Z
41.33.219.140,1981,http,no,transparent,EG,Egypt,Cairo,TE Data,AS8452 TE-AS,388,71,54.7,783,2026-09-12T21:53:58.2712145Z,2026-09-12T21:53:58.2712145Z
137.66.1.45,80,http,no,transparent,US,United States,Chicago,Latitude.sh,AS262287 Latitude.sh LTDA,570,3,98.4,11714,2026-09-12T21:51:47.6439272Z,2026-09-12T21:51:47.6439272Z
193.104.179.115,3128,http,yes,transparent,UZ,Uzbekistan,Tashkent,LLC BROSS-TELECOM,AS212444 Bross Telecom,615,79,83.4,2006,2026-09-12T21:53:19.8778063Z,2026-09-12T21:53:19.8778063Z
103.231.78.36,80,http,no,transparent,IN,India,Hyderabad,Kcomputers,AS18229 CtrlS,640,179,99.8,1069,2026-09-12T21:51:09.6115656Z,2026-09-12T21:51:09.6115656Z
43.98.172.166,3128,http,yes,transparent,SG,Singapore,Singapore,Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",644,158,93.1,5529,2026-09-12T21:53:41.4559866Z,2026-09-12T21:53:41.4559866Z
67.203.23.88,8081,http,no,transparent,US,United States,Los Angeles,T3 Web Hosting,AS17252 Colocation America Corporation,648,159,99.7,11032,2026-09-12T21:51:54.2083710Z,2026-09-12T21:51:54.2083710Z
23.228.86.236,8081,http,no,transparent,US,United States,Los Angeles,T3 Web Hosting,AS17252 Colocation America Corporation,686,163,99.8,11611,2026-09-12T21:51:25.0680022Z,2026-09-12T21:51:25.0680022Z
38.51.207.104,8080,http,yes,transparent,VE,Venezuela,Maracaibo,Tecnoven Services C.A,AS269730 TECNOVEN SERVICES CA,722,1206,69.5,825,2026-09-12T21:49:34.6377118Z,2026-09-12T21:49:34.6377118Z
181.78.74.252,999,http,yes,transparent,CO,Colombia,María la Baja,UFINET,AS52468 UFINET PANAMA S.A.,762,157,99.5,8091,2026-09-12T21:52:40.4798570Z,2026-09-12T21:52:40.4798570Z
181.78.74.253,999,http,yes,transparent,CO,Colombia,María la Baja,UFINET,AS52468 UFINET PANAMA S.A.,773,161,99.4,8090,2026-09-12T21:52:40.4952288Z,2026-09-12T21:52:40.4952288Z
181.78.23.187,999,http,yes,transparent,CO,Colombia,María la Baja,UFINET,AS52468 UFINET PANAMA S.A.,791,162,99.6,5086,2026-09-12T21:52:40.5135121Z,2026-09-12T21:52:40.5135121Z
20.204.43.57,80,http,no,transparent,IN,India,Pune,Microsoft Azure Cloud (centralindia),AS8075 Microsoft Corporation,792,121,100,11640,2026-09-12T21:52:56.8831717Z,2026-09-12T21:52:56.8831717Z
5.200.72.61,3128,http,yes,transparent,IR,Iran,Tehran,RESPINA Networks,AS42337 Respina Networks & Beyond PJSC,813,91,83.8,3858,2026-09-12T21:51:19.8597931Z,2026-09-12T21:51:19.8597931Z
115.231.181.40,8128,http,yes,transparent,CN,China,Hangzhou,jin hua chuanyun LTD,"AS136188 NINGBO, ZHEJIANG Province, P.R.China.",873,229,88.7,1499,2026-09-12T21:53:28.2794885Z,2026-09-12T21:53:28.2794885Z
190.97.236.129,999,http,yes,transparent,VE,Venezuela,Ciudad Bolivia,"Valor Information Technologies, S.L","AS274849 GLOBALNET S&P, C.A.",873,186,99.2,7949,2026-09-12T21:52:40.6206115Z,2026-09-12T21:52:40.6206115Z
52.226.76.91,80,http,no,transparent,US,United States,Boydton,Microsoft Azure Cloud (eastus),AS8075 Microsoft Corporation,892,92,81.2,3808,2026-09-12T21:49:56.2088683Z,2026-09-12T21:49:56.2088683Z
190.97.236.128,999,http,yes,transparent,VE,Venezuela,Ciudad Bolivia,"Valor Information Technologies, S.L","AS274849 GLOBALNET S&P, C.A.",894,194,99,7962,2026-09-12T21:52:40.6483289Z,2026-09-12T21:52:40.6483289Z
8.210.93.183,8213,http,yes,transparent,HK,Hong Kong,Hong Kong,Hong Kong,"AS45102 Alibaba (US) Technology Co., Ltd.",999,247,75.2,202,2026-09-12T21:50:35.9121701Z,2026-09-12T21:50:35.9121701Z
8.209.255.13,3128,http,no,transparent,JP,Japan,Tokyo,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",1003,1285,95.7,11518,2026-09-12T21:54:03.5527637Z,2026-09-12T21:54:03.5527637Z
186.5.94.206,999,http,yes,transparent,EC,Ecuador,Manta,MINTEL,AS27947 Telconet S.A,1008,193,71.4,9161,2026-09-12T21:51:20.1554939Z,2026-09-12T21:51:20.1554939Z
129.226.93.232,80,http,no,transparent,SG,Singapore,Singapore,Tencent Cloud Computing,"AS132203 Tencent Building, Kejizhongyi Avenue",1029,254,99.1,8983,2026-09-12T21:52:40.8444237Z,2026-09-12T21:52:40.8444237Z
