ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
95.211.64.139,8886,http,yes,transparent,DE,Germany,Frankfurt am Main,31173 Services Germany,AS39351 31173 Services AB,103,16,94.3,1085,2026-08-16T13:06:36.4641216Z,2026-08-16T13:06:36.4641216Z
176.111.37.5,39811,http,yes,transparent,UA,Ukraine,Dobropol'ye,Cogento Backbone Limited,AS214743 Cogento Backbone Limited,128,24,98.5,3813,2026-08-16T13:06:36.4957048Z,2026-08-16T13:06:36.4957048Z
95.211.64.139,8887,http,yes,transparent,NL,Netherlands,Amsterdam,Mullvad VPN AB,AS43357 Owl Limited,131,16,95.7,1613,2026-08-16T13:07:51.0740499Z,2026-08-16T13:07:51.0740499Z
95.211.64.139,8888,http,yes,transparent,NL,The Netherlands,Amsterdam,DataCamp Limited,AS212238 Datacamp Limited,132,16,96.2,3846,2026-08-16T13:08:11.7971647Z,2026-08-16T13:08:11.7971647Z
95.211.64.139,8889,http,yes,transparent,NL,The Netherlands,Amsterdam,DataCamp Limited,AS212238 Datacamp Limited,145,16,96,3810,2026-08-16T13:05:59.3921065Z,2026-08-16T13:05:59.3921065Z
176.111.37.216,39811,http,yes,transparent,UA,Ukraine,Dobropol'ye,Cogento Backbone Limited,AS214743 Cogento Backbone Limited,176,24,97.4,3613,2026-08-16T13:05:27.4766478Z,2026-08-16T13:05:27.4766478Z
95.3.69.222,8080,http,yes,transparent,TR,Turkey,Antakya,TurkTelekom,AS9121 Turk Telekomunikasyon Anonim Sirketi,312,50,99.8,3889,2026-08-16T13:08:12.0120991Z,2026-08-16T13:08:12.0120991Z
130.110.103.245,3128,http,yes,transparent,SA,Saudi Arabia,Jeddah,Oracle Cloud Infrastructure (me-jeddah-1),AS31898 Oracle Corporation,340,66,92.9,2226,2026-08-16T13:07:51.3330751Z,2026-08-16T13:07:51.3330751Z
5.200.72.62,3128,http,yes,transparent,IR,Iran,Tehran,RESPINA Networks,AS42337 Respina Networks & Beyond PJSC,373,87,84.3,2777,2026-08-16T13:09:28.6995676Z,2026-08-16T13:09:28.6995676Z
212.154.169.90,3128,http,yes,transparent,KZ,Kazakhstan,Astana,LLC ?electronic Commerce Center,AS50482 JSC Kazakhtelecom,400,72,98.7,1952,2026-08-16T13:07:03.4113936Z,2026-08-16T13:07:03.4113936Z
190.97.236.129,999,http,yes,transparent,VE,Venezuela,Maporal,Viginet C.A,AS263703 VIGINET C.A,561,185,100,238,2026-08-16T13:05:38.7459886Z,2026-08-16T13:05:38.7459886Z
181.78.74.253,999,http,yes,transparent,CO,Colombia,María la Baja,UFINET,AS52468 UFINET PANAMA S.A.,773,161,100,306,2026-08-16T13:08:06.3197654Z,2026-08-16T13:08:06.3197654Z
181.78.74.252,999,http,yes,transparent,CO,Colombia,María la Baja,UFINET,AS52468 UFINET PANAMA S.A.,795,158,100,306,2026-08-16T13:08:06.3388944Z,2026-08-16T13:08:06.3388944Z
44.243.110.232,3128,http,yes,transparent,US,United States,Portland,AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",804,204,100,3,2026-08-16T13:05:54.5645579Z,2026-08-16T13:05:54.5645579Z
190.97.236.128,999,http,yes,transparent,VE,Venezuela,Maporal,Viginet C.A,AS263703 VIGINET C.A,841,184,100,244,2026-08-16T13:05:16.5991523Z,2026-08-16T13:05:16.5991523Z
114.236.137.41,21000,http,yes,transparent,CN,China,Nanjing,Chinanet JS,AS4134 CHINANET BACKBONE,856,201,88,4075,2026-08-16T13:08:25.2247562Z,2026-08-16T13:08:25.2247562Z
37.59.125.131,8888,http,yes,transparent,FR,France,Saint-Jean-sur-Veyle,ProXad network / Free SA,AS12322 Free SAS,1039,16,94.5,3826,2026-08-16T13:08:28.4515160Z,2026-08-16T13:08:28.4515160Z
42.96.18.62,1311,http,yes,transparent,VN,Vietnam,Quận Một,Long Van System Solution,AS131423 Branch of Long Van System Solution JSC - Hanoi,1114,244,92.4,2813,2026-08-16T13:05:54.9154234Z,2026-08-16T13:05:54.9154234Z
187.190.249.238,999,http,yes,transparent,MX,Mexico,Belisario Domínguez,Jose De Jesus Vazquez Ponce,AS270207 MULTICARRIER JE S. DE R.L. DE C.V.,1152,160,87.5,96,2026-08-16T13:08:12.9618800Z,2026-08-16T13:08:12.9618800Z
212.58.132.5,8888,http,yes,transparent,GB,United Kingdom,London,"NSFOCUS, Inc","AS8757 NSFOCUS, Inc.",1348,252,91.1,3793,2026-08-16T13:07:11.8588015Z,2026-08-16T13:07:11.8588015Z
