ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
213.33.126.130,80,http,no,elite,AT,Austria,Vienna,Telekom Austria TA AG,AS8447 A1 Telekom Austria AG,53,25,100,1418,2026-08-07T20:43:33.0909102Z,2026-08-07T20:43:33.0909102Z
117.55.203.165,8899,http,yes,transparent,AT,Austria,Vienna,Datacamp Limited,AS212238 Datacamp Limited,66,18,100,20,2026-08-07T20:40:52.5477832Z,2026-08-07T20:40:52.5477832Z
117.55.203.161,8899,http,yes,transparent,AT,Austria,Vienna,Datacamp Limited,AS212238 Datacamp Limited,118,16,96.3,27,2026-08-07T20:42:48.9434765Z,2026-08-07T20:42:48.9434765Z
117.55.203.158,8899,http,yes,transparent,AT,Austria,Vienna,Datacamp Limited,AS212238 Datacamp Limited,126,17,100,26,2026-08-07T20:40:41.3044104Z,2026-08-07T20:40:41.3044104Z
117.55.203.162,8899,http,yes,transparent,AT,Austria,Vienna,Datacamp Limited,AS212238 Datacamp Limited,126,17,100,26,2026-08-07T20:40:41.3046702Z,2026-08-07T20:40:41.3046702Z
117.55.203.163,8899,http,yes,transparent,AT,Austria,Vienna,Datacamp Limited,AS212238 Datacamp Limited,126,17,100,26,2026-08-07T20:40:41.3041792Z,2026-08-07T20:40:41.3041792Z
193.233.233.62,56736,socks4,yes,elite,AT,Austria,Vienna,xorek.cloud International LTD,AS210644 AEZA INTERNATIONAL LTD,494,13,92,1095,2026-08-07T20:45:02.4896350Z,2026-08-07T20:45:02.4896350Z
188.239.20.23,7777,http,yes,transparent,AT,Austria,Vienna,Datacamp Limited,AS212238 Datacamp Limited,687,260,85.9,206,2026-08-07T20:30:59.4687697Z,2026-08-07T20:30:59.4687697Z
217.182.195.221,30000,http,no,transparent,AT,Austria,Vienna,Foundation Applied Privacy,AS208323 Foundation for Applied Privacy,2996,14,59,61,2026-08-07T20:34:59.5009039Z,2026-08-07T20:34:59.5009039Z
51.15.253.45,8080,socks4,yes,elite,AT,Austria,Vienna,Foundation Applied Privacy,AS208323 Foundation for Applied Privacy,3482,14,88.5,288,2026-08-07T20:41:35.0150987Z,2026-08-07T20:41:35.0150987Z
