ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
182.160.101.193,1080,socks4,yes,elite,BD,Bangladesh,Dhaka,Aamra Networks Limited,"AS24323 aamra networks limited,",992,199,50.3,1815,2026-09-22T18:43:24.4382341Z,2026-09-22T18:43:24.4382341Z
103.149.75.82,1080,socks4,yes,elite,BD,Bangladesh,Dhaka,Amader,AS63969 Race Online Limited,998,201,90.1,14159,2026-09-22T18:44:07.0620978Z,2026-09-22T18:44:07.0620978Z
182.160.124.54,1080,socks4,no,elite,BD,Bangladesh,Dhaka,Aamra Networks Limited,"AS24323 aamra networks limited,",1000,200,44.8,582,2026-09-22T18:44:56.9115828Z,2026-09-22T18:44:56.9115828Z
182.160.124.153,1080,socks4,no,elite,BD,Bangladesh,Dhaka,Aamra Networks Limited,"AS24323 aamra networks limited,",1005,197,40.4,743,2026-09-22T18:41:19.0235866Z,2026-09-22T18:41:19.0235866Z
202.5.50.151,1080,socks4,yes,elite,BD,Bangladesh,Chittagong,BBTS-NEW,AS45326 Broad Band Telecom Services Ltd,1008,200,93.1,5946,2026-09-22T18:42:52.4787480Z,2026-09-22T18:42:52.4787480Z
103.79.183.158,1080,socks4,yes,elite,BD,Bangladesh,Khulna,SPEEDNET,AS136009 SpeedNet,1019,201,55.9,631,2026-09-22T18:40:13.9764919Z,2026-09-22T18:40:13.9764919Z
119.18.147.179,1080,socks4,yes,elite,BD,Bangladesh,Chittagong,BBTS Network,AS45326 Broad Band Telecom Services Ltd,1025,200,89.6,509,2026-09-22T18:43:37.5303343Z,2026-09-22T18:43:37.5303343Z
114.130.89.94,1080,socks4,yes,elite,BD,Bangladesh,Dhaka,Mango Teleservices Limited,AS17806 Tire-1 IP Transit Provider of Bangladesh,2064,206,38.6,453,2026-09-22T18:43:52.1285862Z,2026-09-22T18:43:52.1285862Z
124.109.105.44,80,http,yes,anonymous,BD,Bangladesh,Bhātāra,Mutual Trust Bank Limited,AS55344 Head Office,4198,207,79.2,663,2026-09-22T18:39:46.7046853Z,2026-09-22T18:39:46.7046853Z
103.204.209.126,8080,http,no,transparent,BD,Bangladesh,Dhaka,Level3 Carrier Limited,AS137491 PEEREX NETWORKS LTD./IIG,7276,211,25,4,2026-09-22T18:42:58.7586262Z,2026-09-22T18:42:58.7586262Z
