ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
200.142.97.66,3128,http,yes,transparent,BR,Brazil,Rio de Janeiro,Mundivox Do Brasil Ltda,AS17222 MUNDIVOX DO BRASIL LTDA,770,177,87.1,93,2026-09-19T10:40:28.9689959Z,2026-09-19T10:40:28.9689959Z
200.229.76.160,3128,http,yes,transparent,BR,Brazil,Campinas,Saveincloud Hospedagem na Internet Ltda,AS263511 Saveincloud Hospedagem na Internet Ltda,884,242,100,92,2026-09-19T10:42:30.9366040Z,2026-09-19T10:42:30.9366040Z
177.85.65.177,4153,socks4,yes,elite,BR,Brazil,Simões Filho,ASE TELECOMUNICAÇÕES LTDA ME,AS262600 ASE TELECOMUNICAÇÕES LTDA ME,921,184,60.2,3167,2026-09-19T10:42:57.5067264Z,2026-09-19T10:42:57.5067264Z
189.90.118.105,4153,socks4,yes,elite,BR,Brazil,Leopoldina,Brasilnet Telecomunicações Ltda ME,AS262808 Brasilnet Telecomunicações Ltda ME,1019,201,36.6,71,2026-09-19T10:43:02.8883930Z,2026-09-19T10:43:02.8883930Z
177.68.149.141,1080,socks4,yes,elite,BR,Brazil,São Paulo,TELEF�NICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A,1021,2252,41,703,2026-09-19T10:41:55.0201977Z,2026-09-19T10:41:55.0201977Z
172.233.28.82,1080,socks4,yes,elite,BR,Brazil,São Paulo,"Akamai Technologies, Inc.",AS63949 Akamai Connected Cloud,1022,195,100,21,2026-09-19T10:42:31.0268811Z,2026-09-19T10:42:31.0268811Z
186.251.253.53,31337,socks4,yes,elite,BR,Brazil,Carazinho,Seanet Telecom Carazinho Eireli,AS267513 Seanet Telecom Carazinho Eireli,1070,208,34,291,2026-09-19T10:43:51.0051691Z,2026-09-19T10:43:51.0051691Z
170.150.1.253,4145,socks4,no,elite,BR,Brazil,Rio do Sul,UNIFIQUE TELECOMUNICACOES S/A,AS28343 UNIFIQUE TELECOMUNICACOES S/A,1143,1229,35,511,2026-09-19T10:43:46.3955806Z,2026-09-19T10:43:46.3955806Z
177.66.43.189,4145,socks4,yes,elite,BR,Brazil,Santo Cristo,Magnos A. Both e Cia Ltda,AS52843 Magnos A. Both e Cia Ltda,1144,2298,44.5,290,2026-09-19T10:43:21.8151916Z,2026-09-19T10:43:21.8151916Z
177.131.121.208,5432,socks4,yes,elite,BR,Brazil,Chapecó,Acessoline Telecomunicacoes Ltda,AS262391 ACESSOLINE TELECOMUNICACOES LTDA,1149,219,29.2,408,2026-09-19T10:43:14.5909625Z,2026-09-19T10:43:14.5909625Z
161.35.90.93,1082,socks5,yes,elite,BR,Brazil,Belo Horizonte,Master DA Web Datacenter Ltda,AS270564 MASTER DA WEB DATACENTER LTDA,1232,9,65.7,6569,2026-09-19T10:41:42.6799903Z,2026-09-19T10:41:42.6799903Z
5.75.133.113,10803,socks5,yes,elite,BR,Brazil,São Paulo,Oneprovider.com,"AS136258 BrainStorm Network, Inc",1351,0,71.9,459,2026-09-19T10:40:34.6708478Z,2026-09-19T10:40:34.6708478Z
206.43.119.57,1080,socks5,yes,elite,BR,Brazil,Belém,Click Speed Servicoes del Telecomunicacoes,AS267587 CLICK SPEED SERVICOS DE TELECOMUNICACOES LTDA - EP,1454,204,93.5,92,2026-09-19T10:43:45.6827733Z,2026-09-19T10:43:45.6827733Z
