ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
165.225.66.42,10086,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,53,17,100,179,2026-08-30T15:03:58.5713250Z,2026-08-30T15:03:58.5713250Z
165.225.66.42,10088,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,53,17,100,256,2026-08-30T15:03:58.5711469Z,2026-08-30T15:03:58.5711469Z
165.225.66.42,11368,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,53,13,100,199,2026-08-30T15:00:34.6910408Z,2026-08-30T15:00:34.6910408Z
165.225.66.42,12257,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,53,17,100,179,2026-08-30T15:03:58.5712423Z,2026-08-30T15:03:58.5712423Z
165.225.66.42,18080,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,53,13,100,199,2026-08-30T15:00:34.6908668Z,2026-08-30T15:00:34.6908668Z
165.225.66.42,10648,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,54,27,100,1,2026-08-30T15:04:56.5282473Z,2026-08-30T15:04:56.5282473Z
165.225.66.42,11928,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,54,26,100,1,2026-08-30T15:04:56.5285859Z,2026-08-30T15:04:56.5285859Z
165.225.66.42,11410,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,102,14,100,57,2026-08-30T15:03:04.9680805Z,2026-08-30T15:03:04.9680805Z
165.225.66.42,10230,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,138,40,100,256,2026-08-30T15:03:28.1402600Z,2026-08-30T15:03:28.1402600Z
165.225.66.42,11421,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,138,40,100,256,2026-08-30T15:03:28.1403582Z,2026-08-30T15:03:28.1403582Z
165.225.66.42,10324,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,144,14,100,57,2026-08-30T15:03:05.0092534Z,2026-08-30T15:03:05.0092534Z
165.225.66.42,12587,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,182,13,100,226,2026-08-30T15:02:22.5801933Z,2026-08-30T15:02:22.5801933Z
165.225.66.42,9443,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,183,125,100,57,2026-08-30T15:02:47.7287579Z,2026-08-30T15:02:47.7287579Z
165.225.66.42,10801,http,yes,elite,CH,Switzerland,Zurich,"ZSCALER, INC.",AS62044 Zscaler Switzerland GmbH,200,38,100,158,2026-08-30T15:03:28.2022331Z,2026-08-30T15:03:28.2022331Z
