ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
125.122.35.253,8086,http,no,elite,CN,China,Hangzhou,Chinanet,AS58461 CT HangZhou IDC,748,1222,99.6,3074,2026-08-13T17:11:56.4166741Z,2026-08-13T17:11:56.4166741Z
61.155.3.26,3128,http,yes,anonymous,CN,China,Nanjing,Chinanet JS,AS4134 CHINANET BACKBONE,749,202,83.1,355,2026-08-13T17:12:06.2649203Z,2026-08-13T17:12:06.2649203Z
111.42.183.124,2022,socks4,yes,elite,CN,China,Harbin,China Mobile,AS132525 HeiLongJiang Mobile Communication Company Limited,754,150,85.2,1019,2026-08-13T17:11:07.7108196Z,2026-08-13T17:11:07.7108196Z
58.254.153.146,17981,http,yes,elite,CN,China,Guangzhou,Shanghaiwangsukejifazhanyouxian,AS4134 CHINANET BACKBONE,784,179,99.7,3074,2026-08-13T17:13:32.5753345Z,2026-08-13T17:13:32.5753345Z
115.231.181.40,8128,http,yes,transparent,CN,China,Hangzhou,jin hua chuanyun LTD,"AS136188 NINGBO, ZHEJIANG Province, P.R.China.",788,174,89.7,3109,2026-08-13T17:10:55.2500077Z,2026-08-13T17:10:55.2500077Z
58.254.153.147,17981,http,yes,elite,CN,China,Guangzhou,Shanghaiwangsukejifazhanyouxian,AS4134 CHINANET BACKBONE,803,165,99.6,3077,2026-08-13T17:13:08.0520820Z,2026-08-13T17:13:08.0520820Z
120.92.111.242,15010,http,yes,transparent,CN,China,Beijing,"Beijing Kingsoft Cloud Internet Technology Co., Ltd.","AS59019 Beijing Kingsoft Cloud Internet Technology Co., Ltd",832,162,77.5,1599,2026-08-13T17:11:42.1034081Z,2026-08-13T17:11:42.1034081Z
122.246.3.210,17981,http,yes,elite,CN,China,Ningbo,China Telecom,"AS136188 NINGBO, ZHEJIANG Province, P.R.China.",899,180,89.1,2875,2026-08-13T17:12:00.6799135Z,2026-08-13T17:12:00.6799135Z
112.64.135.45,8080,http,yes,elite,CN,China,Shanghai,China Unicom CHINA169 Shanghai Province Network,AS17621 China Unicom Shanghai network,931,2263,94,2067,2026-08-13T17:11:44.3023115Z,2026-08-13T17:11:44.3023115Z
122.246.4.6,17981,http,yes,elite,CN,China,Ningbo,China Telecom,"AS136188 NINGBO, ZHEJIANG Province, P.R.China.",956,206,86,2730,2026-08-13T17:15:00.7764429Z,2026-08-13T17:15:00.7764429Z
47.84.84.1,3128,http,yes,elite,CN,China,Shanghai,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",967,168,96.4,1907,2026-08-13T17:13:16.2858333Z,2026-08-13T17:13:16.2858333Z
153.0.171.163,8085,http,no,elite,CN,China,Jinrongjie,China United Network Communications Corporation Limited,AS4837 CHINA UNICOM China169 Backbone,985,243,98.8,3060,2026-08-13T17:10:10.1057777Z,2026-08-13T17:10:10.1057777Z
59.36.210.211,13552,http,yes,elite,CN,China,Shanghai,Chinanet GD,AS4134 CHINANET BACKBONE,1019,251,83.7,2836,2026-08-13T17:10:39.4719169Z,2026-08-13T17:10:39.4719169Z
101.71.143.237,8092,http,no,elite,CN,China,Hangzhou,China Unicom Zhejiang Province Network,AS4837 CHINA UNICOM China169 Backbone,1028,231,93.5,1338,2026-08-13T17:12:06.5728647Z,2026-08-13T17:12:06.5728647Z
113.204.79.230,9091,http,no,elite,CN,China,Jinrongjie,huazhenggongXS com,AS4837 CHINA UNICOM China169 Backbone,1039,217,99.1,3087,2026-08-13T17:10:34.4255129Z,2026-08-13T17:10:34.4255129Z
116.196.150.180,17981,http,yes,elite,CN,China,Hangzhou,"Jinhua Weian InfoTech Co., Ltd","AS131516 Jinhua Weian InfoTech Co., Ltd",1126,229,95,2923,2026-08-13T17:13:08.4390851Z,2026-08-13T17:13:08.4390851Z
27.185.218.213,17981,http,yes,elite,CN,China,Shijiazhuang,Chinanet HE,"AS134760 Shijiazhuang IDC network, CHINANET Hebei province",1139,243,98.8,3020,2026-08-13T17:10:04.3540622Z,2026-08-13T17:10:04.3540622Z
101.66.199.102,8085,http,no,elite,CN,China,Hangzhou,CNC Group CHINA169 Zhejiang Province Network,AS4837 CHINA UNICOM China169 Backbone,1202,560,100,48,2026-08-13T17:11:37.5635846Z,2026-08-13T17:11:37.5635846Z
120.232.115.170,17981,http,yes,elite,CN,China,Guangzhou,China Mobile,"AS9808 China Mobile Communications Group Co., Ltd.",1206,210,85.2,3141,2026-08-13T17:14:41.1612280Z,2026-08-13T17:14:41.1612280Z
219.142.66.244,9090,http,yes,transparent,CN,China,Beijing,SMS Demag Technology Corporation,AS4847 China Networks Inter-Exchange,1220,165,90.6,1580,2026-08-13T17:13:08.4689390Z,2026-08-13T17:13:08.4689390Z
117.50.194.130,7890,socks5,yes,elite,CN,China,Yangpu,Shanghai UCloud Information Technology Company Limited,"AS23724 IDC, China Telecommunications Corporation",1221,160,93.6,2696,2026-08-13T17:11:29.8308550Z,2026-08-13T17:11:29.8308550Z
211.162.68.57,1088,socks5,yes,elite,CN,China,Keji yuan,Shenzhen Greatwall Broadband Network Service Co.,AS17623 China Unicom Shenzen network,1272,203,76.8,710,2026-08-13T17:11:03.0889918Z,2026-08-13T17:11:03.0889918Z
122.51.226.233,2332,socks4,yes,elite,CN,China,Shanghai,Guangzhou Haizhiguang communication technology Limited,AS45090 Shenzhen Tencent Computer Systems Company Limited,1540,1217,46.1,419,2026-08-13T17:13:17.9087948Z,2026-08-13T17:13:17.9087948Z
101.66.198.174,8085,http,no,elite,CN,China,Hangzhou,CNC Group CHINA169 Zhejiang Province Network,AS4837 CHINA UNICOM China169 Backbone,1644,290,99,1523,2026-08-13T17:13:58.9100298Z,2026-08-13T17:13:58.9100298Z
113.249.101.105,18255,http,no,elite,CN,China,Chongqing,Chinanet CQ,AS134420 Chongqing Telecom,1645,210,69.6,1374,2026-08-13T17:10:24.0802753Z,2026-08-13T17:10:24.0802753Z
