ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
181.78.74.252,999,http,yes,transparent,CO,Colombia,María la Baja,UFINET,AS52468 UFINET PANAMA S.A.,677,157,99.4,715,2026-08-17T23:31:37.9908807Z,2026-08-17T23:31:37.9908807Z
181.78.74.172,999,http,yes,transparent,CO,Colombia,Sucre,UFINET,AS52468 UFINET PANAMA S.A.,695,163,99.4,161,2026-08-17T23:32:05.5299183Z,2026-08-17T23:32:05.5299183Z
181.78.74.171,999,http,yes,transparent,CO,Colombia,Sucre,UFINET,AS52468 UFINET PANAMA S.A.,717,163,99.4,155,2026-08-17T23:32:05.5526036Z,2026-08-17T23:32:05.5526036Z
181.78.74.253,999,http,yes,transparent,CO,Colombia,María la Baja,UFINET,AS52468 UFINET PANAMA S.A.,789,162,99.6,715,2026-08-17T23:35:05.4772158Z,2026-08-17T23:35:05.4772158Z
38.19.40.9,8083,http,no,transparent,CO,Colombia,Pereira,Super Redes,AS270075 SUPER REDES S.A.S,815,2256,23.7,59,2026-08-17T23:32:47.6527657Z,2026-08-17T23:32:47.6527657Z
181.78.74.174,999,http,yes,transparent,CO,Colombia,Sucre,UFINET,AS52468 UFINET PANAMA S.A.,815,164,100,161,2026-08-17T23:35:05.5055395Z,2026-08-17T23:35:05.5055395Z
186.148.162.155,999,http,yes,transparent,CO,Colombia,Bogotá,TV AZTECA SUCURSAL COLOMBIA,AS262186 TV AZTECA SUCURSAL COLOMBIA,2699,172,52.2,1403,2026-08-17T23:32:13.2235177Z,2026-08-17T23:32:13.2235177Z
200.10.31.45,8081,http,yes,transparent,CO,Colombia,Pereira,Super Redes S.A.S,AS270075 SUPER REDES S.A.S,3592,2266,30,70,2026-08-17T23:31:36.6419744Z,2026-08-17T23:31:36.6419744Z
186.33.57.213,999,http,yes,transparent,CO,Colombia,Valencia,UFINET,AS52468 UFINET PANAMA S.A.,5590,175,17.6,17,2026-08-17T23:30:52.2669925Z,2026-08-17T23:30:52.2669925Z
45.172.218.67,3028,http,no,transparent,CO,Colombia,Bosconia,Intermegamundo Partners,AS267810 INTERMEGAMUNDO PARTNERS S.A.S.,5629,2290,30.6,121,2026-08-17T23:34:26.1427117Z,2026-08-17T23:34:26.1427117Z
191.102.109.18,999,http,no,transparent,CO,Colombia,Quibdó,TV AZTECA SUCURSAL COLOMBIA,AS262186 TV AZTECA SUCURSAL COLOMBIA,5831,2211,8.3,24,2026-08-17T23:31:13.8468596Z,2026-08-17T23:31:13.8468596Z
