ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
213.157.6.50,80,http,no,elite,DE,Germany,Dieburg,ENTEGA Medianet GmbH,AS12897 ENTEGA Medianet GmbH,18,8,100,1851,2026-08-09T09:12:38.7133493Z,2026-08-09T09:12:38.7133493Z
116.202.108.111,3128,http,no,transparent,DE,Germany,Falkenstein,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,28,3,99.7,1849,2026-08-09T09:13:25.8910455Z,2026-08-09T09:13:25.8910455Z
142.132.179.50,80,http,no,anonymous,DE,Germany,Falkenstein,Hetzner,AS24940 Hetzner Online GmbH,29,3,98.6,1798,2026-08-09T09:11:21.1677355Z,2026-08-09T09:11:21.1677355Z
103.237.102.191,11111,http,yes,elite,DE,Germany,Frankfurt am Main,Franet,AS62610 Zenlayer Inc,30,4,99.4,1853,2026-08-09T09:11:44.2797021Z,2026-08-09T09:11:44.2797021Z
45.144.54.40,1080,socks5,yes,elite,DE,Germany,Frankfurt am Main,Aeza International LTD,AS210644 AEZA GROUP LLC,36,3,95,60,2026-08-09T09:12:33.0332281Z,2026-08-09T09:12:33.0332281Z
80.74.54.148,3128,http,no,anonymous,DE,Germany,Mönchengladbach,DGB Network,AS60294 Deutsche Glasfaser Wholesale GmbH,47,8,81.9,1285,2026-08-09T09:13:31.9037006Z,2026-08-09T09:13:31.9037006Z
194.163.174.78,1082,socks5,yes,elite,DE,Germany,Frankfurt am Main,Packethub S.A,AS62240 Clouvider,60,7,48.5,103,2026-08-09T09:12:55.9755935Z,2026-08-09T09:12:55.9755935Z
47.91.65.23,3128,http,no,transparent,DE,Germany,Frankfurt am Main,ALICLOUD-GM,"AS45102 Alibaba (US) Technology Co., Ltd.",234,4,96.6,1836,2026-08-09T09:14:59.2595167Z,2026-08-09T09:14:59.2595167Z
159.195.49.27,8888,http,yes,elite,DE,Germany,Nuremberg,NETCUP-KVM,AS197540 netcup GmbH,463,1063,82.1,1862,2026-08-09T09:13:27.3856634Z,2026-08-09T09:13:27.3856634Z
188.239.20.23,7777,http,yes,anonymous,DE,Germany,Frankfurt am Main,Node Host Limited,AS198550 NODE HOST LIMITED,658,245,83.2,256,2026-08-09T08:31:17.6159930Z,2026-08-09T08:31:17.6159930Z
46.37.123.166,1081,socks5,yes,elite,DE,Germany,Frankfurt am Main,Freakhosting LTD,AS215703 FREAKHOSTING LTD,1108,4,86.9,1875,2026-08-09T09:14:48.3658626Z,2026-08-09T09:14:48.3658626Z
144.21.39.252,1080,socks5,yes,elite,DE,Germany,Frankfurt am Main,PacketHub S.A,AS207137 PacketHub S.A.,1129,17,99.5,204,2026-08-09T09:10:50.4821117Z,2026-08-09T09:10:50.4821117Z
178.156.206.253,8118,http,yes,elite,DE,Germany,Haßfurt,F3 Netze e.V,AS205100 F3 Netze e.V.,1312,98,57.2,533,2026-08-09T09:11:22.5466245Z,2026-08-09T09:11:22.5466245Z
185.21.252.234,3128,http,yes,transparent,DE,Germany,Brandenburg an der Havel,CIA TRIAD SECURITY LLC,AS60729 Stiftung Erneuerbare Freiheit,1717,207,80.6,710,2026-08-09T09:09:31.0306722Z,2026-08-09T09:09:31.0306722Z
45.61.129.165,9050,socks5,yes,elite,DE,Germany,Brandenburg an der Havel,CIA TRIAD SECURITY LLC,AS60729 Stiftung Erneuerbare Freiheit,2751,141,97,1514,2026-08-09T09:14:14.7443669Z,2026-08-09T09:14:14.7443669Z
5.35.85.97,1080,socks5,yes,elite,DE,Germany,Frankfurt am Main,Qwins LTD,AS213702 QWINS LTD,3419,56,70.8,1586,2026-08-09T09:10:24.6779234Z,2026-08-09T09:10:24.6779234Z
115.136.121.54,9050,socks4,yes,elite,DE,Germany,Haßfurt,F3 Netze e.V,AS205100 F3 Netze e.V.,4473,204,80.4,496,2026-08-09T09:13:36.5275732Z,2026-08-09T09:13:36.5275732Z
