ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
197.164.101.14,1981,http,no,transparent,EG,Egypt,Cairo,Link Egypt (Link.NET),AS24863 Link Egypt (Link.NET),249,65,57.1,1162,2026-09-21T02:42:22.2838811Z,2026-09-21T02:42:22.2838811Z
196.204.83.232,1981,http,no,transparent,EG,Egypt,Cairo,Vodafone Data,AS24835 Vodafone Data,280,69,25,16,2026-09-21T02:40:35.6981431Z,2026-09-21T02:40:35.6981431Z
196.204.3.22,1981,http,no,transparent,EG,Egypt,New Cairo,HiNet,AS24835 Vodafone Data,297,71,64.3,1109,2026-09-21T02:41:13.3725727Z,2026-09-21T02:41:13.3725727Z
41.128.72.195,1976,http,no,transparent,EG,Egypt,Cairo,Link Egypt (Link.NET),AS24863 Link Egypt (Link.NET),308,64,100,26,2026-09-21T02:41:18.4595887Z,2026-09-21T02:41:18.4595887Z
41.128.90.54,1976,http,no,transparent,EG,Egypt,Cairo,Link Egypt (Link.NET),AS24863 Link Egypt (Link.NET),310,72,86.1,568,2026-09-21T02:43:17.9431109Z,2026-09-21T02:43:17.9431109Z
41.196.16.230,1976,http,no,transparent,EG,Egypt,New Cairo,Link Egypt (Link.NET),AS24863 Link Egypt (Link.NET),313,58,80.9,571,2026-09-21T02:41:49.9133383Z,2026-09-21T02:41:49.9133383Z
196.204.83.232,1976,http,no,transparent,EG,Egypt,Cairo,Vodafone Data,AS24835 Vodafone Data,332,68,51.4,105,2026-09-21T02:44:20.2108726Z,2026-09-21T02:44:20.2108726Z
41.128.77.76,1981,http,no,transparent,EG,Egypt,Cairo,Link Egypt (Link.NET),AS24863 Link Egypt (Link.NET),335,65,58.3,1047,2026-09-21T02:44:20.2096707Z,2026-09-21T02:44:20.2096707Z
41.196.16.230,1981,http,no,transparent,EG,Egypt,New Cairo,Link Egypt (Link.NET),AS24863 Link Egypt (Link.NET),355,59,81.7,590,2026-09-21T02:44:42.1028736Z,2026-09-21T02:44:42.1028736Z
197.164.101.14,1976,http,no,transparent,EG,Egypt,Cairo,Link Egypt (Link.NET),AS24863 Link Egypt (Link.NET),361,64,62.5,160,2026-09-21T02:41:29.5868064Z,2026-09-21T02:41:29.5868064Z
197.164.101.13,1981,http,no,transparent,EG,Egypt,Cairo,Link Egypt (Link.NET),AS24863 Link Egypt (Link.NET),371,63,73,3322,2026-09-21T02:43:07.7027274Z,2026-09-21T02:43:07.7027274Z
196.204.3.22,1976,http,no,transparent,EG,Egypt,New Cairo,HiNet,AS24835 Vodafone Data,389,72,68.9,1075,2026-09-21T02:40:19.9323423Z,2026-09-21T02:40:19.9323423Z
41.33.126.136,1976,http,no,transparent,EG,Egypt,Cairo,TE Data,AS8452 TE-AS,397,70,24.9,209,2026-09-21T02:43:57.6712278Z,2026-09-21T02:43:57.6712278Z
41.33.219.140,1981,http,no,transparent,EG,Egypt,Cairo,TE Data,AS8452 TE-AS,459,157,56.9,1421,2026-09-21T02:44:20.4254020Z,2026-09-21T02:44:20.4254020Z
41.128.77.76,1976,http,no,transparent,EG,Egypt,Cairo,Link Egypt (Link.NET),AS24863 Link Egypt (Link.NET),1756,2100,53,406,2026-09-21T02:42:25.8271892Z,2026-09-21T02:42:25.8271892Z
