ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
135.87.39.23,9443,http,yes,elite,FI,Finland,Helsinki,Nokia,AS8983 Nokia Solutions and Networks Oy,147,33,99.8,553,2026-08-04T19:51:34.6700888Z,2026-08-04T19:51:34.6700888Z
135.87.39.23,443,http,yes,elite,FI,Finland,Helsinki,Nokia,AS8983 Nokia Solutions and Networks Oy,185,33,99.8,553,2026-08-04T19:51:34.7076082Z,2026-08-04T19:51:34.7076082Z
144.31.75.120,11112,http,yes,elite,FI,Finland,Helsinki,u1host Finland,AS213877 U1 DIGITAL SERVICES LTD,189,38,90.6,191,2026-08-04T19:53:20.6596276Z,2026-08-04T19:53:20.6596276Z
135.87.39.23,80,http,yes,elite,FI,Finland,Helsinki,Nokia,AS8983 Nokia Solutions and Networks Oy,194,33,99.8,553,2026-08-04T19:51:34.7161429Z,2026-08-04T19:51:34.7161429Z
193.233.139.106,1080,socks5,yes,elite,FI,Finland,Helsinki,Aeza Group LLC,AS210644 AEZA GROUP LLC,238,33,78.9,194,2026-08-04T19:52:19.4168480Z,2026-08-04T19:52:19.4168480Z
83.147.216.208,1080,socks5,yes,elite,FI,Finland,Helsinki,NetCrafters OU,AS203273 NetCrafters OU,241,31,98,557,2026-08-04T19:50:06.0919169Z,2026-08-04T19:50:06.0919169Z
31.76.80.215,1080,socks5,yes,elite,FI,Finland,Helsinki,Play2go Customers Network,AS215439 PLAY2GO INTERNATIONAL LIMITED,259,35,59.8,415,2026-08-04T19:52:07.5842715Z,2026-08-04T19:52:07.5842715Z
195.26.230.202,8080,http,no,elite,FI,Finland,Helsinki,Hostkey B.V,AS57043 HOSTKEY B.V.,271,31,100,552,2026-08-04T19:50:40.1431309Z,2026-08-04T19:50:40.1431309Z
65.108.103.19,80,http,no,elite,FI,Finland,Helsinki,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,1924,1070,79.7,395,2026-08-04T19:52:05.0314010Z,2026-08-04T19:52:05.0314010Z
92.118.234.124,1080,http,yes,elite,FI,Finland,Helsinki,WorkTitans B.V,AS209847 WorkTitans B.V.,7017,2113,91.2,397,2026-08-04T19:51:18.7071633Z,2026-08-04T19:51:18.7071633Z
