ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
109.199.119.160,80,http,no,elite,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,36,6,99.2,8514,2026-09-01T17:11:18.5591101Z,2026-09-01T17:11:18.5591101Z
62.210.215.36,80,http,no,anonymous,FR,France,Paris,ONLINE,AS12876 Scaleway SAS,64,14,95.3,472,2026-09-01T17:11:36.9563698Z,2026-09-01T17:11:36.9563698Z
51.146.240.4,8080,http,yes,elite,FR,France,Paris,Datacamp Limited,AS212238 Datacamp Limited,132,1035,87.2,1785,2026-09-01T17:10:24.4764425Z,2026-09-01T17:10:24.4764425Z
158.220.99.85,4545,socks4,yes,elite,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,313,70,81.6,1830,2026-09-01T17:11:18.9018926Z,2026-09-01T17:11:18.9018926Z
51.178.49.241,1088,socks5,yes,elite,FR,France,Strasbourg,OVH,AS16276 OVH SAS,654,74,89.8,788,2026-09-01T17:14:43.3606954Z,2026-09-01T17:14:43.3606954Z
144.91.121.61,1088,socks5,yes,elite,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,800,84,94.5,8478,2026-09-01T17:13:24.7559274Z,2026-09-01T17:13:24.7559274Z
212.47.232.28,80,http,no,elite,FR,France,Paris,ONLINE,AS12876 Scaleway SAS,990,14,82.4,6922,2026-09-01T17:13:44.2298155Z,2026-09-01T17:13:44.2298155Z
213.199.47.140,1080,socks5,yes,elite,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,1200,97,91.3,1531,2026-09-01T17:13:01.4747504Z,2026-09-01T17:13:01.4747504Z
202.133.88.173,80,http,no,elite,FR,France,Paris,Deployish Limited,AS212552 BitCommand LLC,1349,51,91,7848,2026-09-01T17:14:38.3571436Z,2026-09-01T17:14:38.3571436Z
194.163.175.167,40000,http,yes,elite,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,1603,2174,96.7,1154,2026-09-01T17:12:46.6425943Z,2026-09-01T17:12:46.6425943Z
51.75.206.209,80,http,no,elite,FR,France,Roubaix,OVH,AS16276 OVH SAS,1908,1074,66.1,3268,2026-09-01T17:10:22.7275609Z,2026-09-01T17:10:22.7275609Z
49.13.22.249,10811,socks5,yes,elite,FR,France,Bordeaux,HostRoyale Technologies Pvt Ltd,AS39486 HostRoyale Technologies Pvt Ltd,3903,3,73,1193,2026-09-01T17:10:58.4876871Z,2026-09-01T17:10:58.4876871Z
37.59.125.131,8888,http,yes,transparent,FR,France,Saint-Jean-sur-Veyle,ProXad network / Free SA,AS12322 Free SAS,5622,14,91.5,8117,2026-09-01T17:13:54.5523433Z,2026-09-01T17:13:54.5523433Z
37.187.74.125,80,http,no,elite,FR,France,Roubaix,OVH SAS,AS16276 OVH SAS,5976,13,91.7,8038,2026-09-01T17:10:48.5480869Z,2026-09-01T17:10:48.5480869Z
163.172.167.48,80,http,no,elite,FR,France,Paris,ONLINE,AS12876 Scaleway SAS,6206,14,59.2,1021,2026-09-01T17:10:42.5699765Z,2026-09-01T17:10:42.5699765Z
206.245.131.160,80,http,no,elite,FR,France,Paris,Baxet Group Inc,AS26383 Baxet Group Inc.,6814,12,98.1,8507,2026-09-01T17:14:55.3236332Z,2026-09-01T17:14:55.3236332Z
