ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
51.38.120.110,10003,http,no,transparent,GB,United Kingdom,London,OVH Hosting LDA,AS16276 OVH SAS,68,11,58.8,17,2026-09-24T03:09:52.2196918Z,2026-09-24T03:09:52.2196918Z
185.87.255.54,1080,socks5,yes,elite,GB,United Kingdom,London,Fast Panda Limited,AS215089 Fast Panda Limited,143,16,99,1430,2026-09-24T03:09:46.4308373Z,2026-09-24T03:09:46.4308373Z
94.76.224.104,5002,http,no,elite,GB,United Kingdom,Reading,Simply Transit Ltd,AS29550 Team Blue Carrier Limited,155,32,40.2,189,2026-09-24T03:04:23.7219661Z,2026-09-24T03:04:23.7219661Z
192.252.210.233,4145,socks4,no,elite,GB,United Kingdom,London,Performive LLC,AS46562 Performive LLC,852,165,99.7,14811,2026-09-24T03:08:42.2576945Z,2026-09-24T03:08:42.2576945Z
217.182.195.221,30008,http,yes,transparent,GB,United Kingdom,London,BL Networks,AS399629 BL Networks,1261,13,55.2,505,2026-09-24T03:08:09.9838290Z,2026-09-24T03:08:09.9838290Z
178.79.180.31,1088,socks5,yes,elite,GB,United Kingdom,London,"Linode, LLC",AS63949 Akamai Connected Cloud,1830,153,91.1,135,2026-09-24T03:09:43.0014372Z,2026-09-24T03:09:43.0014372Z
46.101.31.223,1080,socks5,yes,elite,GB,United Kingdom,Slough,Digitalocean,"AS14061 DigitalOcean, LLC",2149,17,73.3,15,2026-09-24T03:07:26.7009536Z,2026-09-24T03:07:26.7009536Z
172.237.102.212,3128,http,yes,elite,GB,United Kingdom,London,"Akamai Technologies, Inc.",AS63949 Akamai Connected Cloud,4936,15,67.6,71,2026-09-24T03:07:33.2499910Z,2026-09-24T03:07:33.2499910Z
185.87.255.47,1080,socks5,yes,elite,GB,United Kingdom,London,Fast Panda Limited,AS215089 Fast Panda Limited,5138,25,99.3,1132,2026-09-24T03:06:23.7065072Z,2026-09-24T03:06:23.7065072Z
65.21.252.66,10801,socks5,yes,elite,GB,United Kingdom,Brentford,M247 Ltd,AS9009 M247 Europe SRL,6233,27,68.4,3227,2026-09-24T03:07:55.6684936Z,2026-09-24T03:07:55.6684936Z
