ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
43.161.240.20,8080,http,yes,elite,HK,Hong Kong,Hong Kong,Aceville Pte.ltd,"AS132203 Tencent Building, Kejizhongyi Avenue",760,185,64.8,284,2026-09-19T03:09:59.7724029Z,2026-09-19T03:09:59.7724029Z
203.19.38.114,1080,http,no,elite,HK,Hong Kong,Hong Kong,China Telecom Global networks,AS23764 CTGNet,786,195,99.8,13421,2026-09-19T03:06:37.6722917Z,2026-09-19T03:06:37.6722917Z
47.243.92.199,3128,http,no,transparent,HK,Hong Kong,Hong Kong,Alibaba Cloud - HK,"AS45102 Alibaba (US) Technology Co., Ltd.",1077,252,99.1,13424,2026-09-19T03:06:53.7545511Z,2026-09-19T03:06:53.7545511Z
91.103.120.48,80,http,no,elite,HK,Hong Kong,Tsuen Wan,Alice Networks LTD,AS215355 Alice Network,1085,239,98.1,4775,2026-09-19T03:09:27.7959864Z,2026-09-19T03:09:27.7959864Z
36.155.23.163,10808,socks4,yes,elite,HK,Hong Kong,Hong Kong,ZEN,AS21859 Zenlayer Inc,1130,190,86.8,722,2026-09-19T03:09:38.9138103Z,2026-09-19T03:09:38.9138103Z
101.36.112.205,1081,socks5,yes,elite,HK,Hong Kong,Hong Kong,Ucloud Information Technology (hk) Limited,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1266,331,75.5,514,2026-09-19T03:07:15.8829738Z,2026-09-19T03:07:15.8829738Z
165.154.20.187,10808,socks4,yes,elite,HK,Hong Kong,Hong Kong,Ucloud Information Technology (hk) Limited,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1288,254,66.5,209,2026-09-19T03:07:43.2964174Z,2026-09-19T03:07:43.2964174Z
45.194.33.12,30002,socks5,yes,elite,HK,Hong Kong,Hong Kong,Antbox Network Limited,AS138995 Antbox Networks Limited,1463,254,94.4,7680,2026-09-19T03:05:31.6942069Z,2026-09-19T03:05:31.6942069Z
45.194.33.12,30001,socks5,yes,elite,HK,Hong Kong,Hong Kong,Antbox Network Limited,AS138995 Antbox Networks Limited,1517,238,89.3,14065,2026-09-19T03:06:21.0602220Z,2026-09-19T03:06:21.0602220Z
123.58.219.171,10808,socks5,yes,elite,HK,Hong Kong,Hong Kong,Ucloud Information Technology (hk) Limited,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1575,259,80.3,11966,2026-09-19T03:06:54.2583369Z,2026-09-19T03:06:54.2583369Z
165.154.7.156,8888,http,yes,elite,HK,Hong Kong,Hong Kong,Ucloud Information Technology (hk) Limited,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1590,247,77.8,27,2026-09-19T03:06:43.7448805Z,2026-09-19T03:06:43.7448805Z
103.43.191.71,8888,http,yes,elite,HK,Hong Kong,Kwai Chung,Zhongya PTE LTD,AS139021 West263 International Limited,2177,204,65.4,8891,2026-09-19T03:06:26.7698175Z,2026-09-19T03:06:26.7698175Z
27.124.12.186,1080,socks5,yes,elite,HK,Hong Kong,Shatin,Rackip Consultancy Pte. LTD,AS152194 CTG Server Limited,3302,203,98.7,1085,2026-09-19T03:06:07.0758012Z,2026-09-19T03:06:07.0758012Z
65.21.252.66,10814,socks5,yes,elite,HK,Hong Kong,Hong Kong,CDN77 Hong Kong,AS60068 Datacamp Limited,7306,27,74,265,2026-09-19T03:09:06.4059124Z,2026-09-19T03:09:06.4059124Z
