ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
8.215.25.3,2081,http,yes,elite,ID,Indonesia,Jakarta,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",675,169,56.2,413,2026-09-08T08:39:33.0342513Z,2026-09-08T08:39:33.0342513Z
8.215.112.240,7777,http,yes,elite,ID,Indonesia,Jakarta,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",678,169,76.6,3989,2026-09-08T08:39:22.1521807Z,2026-09-08T08:39:22.1521807Z
8.215.25.3,2080,socks4,yes,elite,ID,Indonesia,Jakarta,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",704,170,61.5,546,2026-09-08T08:36:47.1478132Z,2026-09-08T08:36:47.1478132Z
8.215.112.214,7777,http,yes,elite,ID,Indonesia,Jakarta,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",725,177,76.6,3982,2026-09-08T08:36:52.8996895Z,2026-09-08T08:36:52.8996895Z
103.65.237.92,5678,http,no,elite,ID,Indonesia,Jakarta,PT Berkah Solusi Teknologi Informasi,AS135450 PT Berkah Solusi Teknologi Informasi,749,178,90,8155,2026-09-08T08:35:51.0195611Z,2026-09-08T08:35:51.0195611Z
103.36.35.249,5678,socks4,yes,elite,ID,Indonesia,Jakarta,Cepatnet,AS131111 PT Mora Telematika Indonesia,837,2224,12.5,24,2026-09-08T08:36:35.9548793Z,2026-09-08T08:36:35.9548793Z
103.156.57.135,9988,http,yes,transparent,ID,Indonesia,Batam,JETCOMSNET,AS141083 PT Filltech Antar Nusa,1269,155,24.1,29,2026-09-08T08:36:47.6985073Z,2026-09-08T08:36:47.6985073Z
103.167.156.82,1080,socks4,yes,elite,ID,Indonesia,Pemalang,PT Jaringan Tiang Indonesia Group,AS150554 PT Jaringan Tiang Indonesia Group,1328,258,19,21,2026-09-08T08:37:05.0872971Z,2026-09-08T08:37:05.0872971Z
114.129.19.250,4145,socks4,yes,elite,ID,Indonesia,Sanur,PT Hipernet Indodata,AS38758 PT. HIPERNET INDODATA,3033,1197,26.7,15,2026-09-08T08:39:47.7396075Z,2026-09-08T08:39:47.7396075Z
103.177.20.27,1080,socks4,yes,elite,ID,Indonesia,Krajan,PT Diva Telekomunikasi Indonesia,AS147139 PT Diva Telekomunikasi Indonesia,4121,211,28.4,183,2026-09-08T08:35:10.5649679Z,2026-09-08T08:35:10.5649679Z
