ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
45.194.41.141,8080,http,yes,elite,IN,India,Mumbai,Real Time Data Services Private Limited,AS140641 YOTTA NETWORK SERVICES PRIVATE LIMITED,496,136,82.7,2348,2026-09-14T05:10:25.4367868Z,2026-09-14T05:10:25.4367868Z
103.143.8.126,51951,socks4,yes,elite,IN,India,Mumbai,Promptnet Broadband Pvt Ltd,AS138296 Juweriyah Networks Private Limited,620,1140,38.1,354,2026-09-14T05:12:39.5348404Z,2026-09-14T05:12:39.5348404Z
103.231.78.36,80,http,no,transparent,IN,India,Hyderabad,Kcomputers,AS18229 CtrlS,703,180,99.9,1440,2026-09-14T05:13:12.6678659Z,2026-09-14T05:13:12.6678659Z
219.65.73.81,80,http,no,anonymous,IN,India,Kolkata,Reliance Jio Infocomm Limited,AS55836 Reliance Jio Infocomm Limited,751,158,98.4,11868,2026-09-14T05:11:56.2730072Z,2026-09-14T05:11:56.2730072Z
20.204.43.57,80,http,no,transparent,IN,India,Pune,Microsoft Azure Cloud (centralindia),AS8075 Microsoft Corporation,768,126,100,12013,2026-09-14T05:13:20.5622211Z,2026-09-14T05:13:20.5622211Z
219.65.73.80,80,http,no,anonymous,IN,India,Kolkata,Reliance Jio Infocomm Limited,AS55836 Reliance Jio Infocomm Limited,779,156,98.6,11778,2026-09-14T05:11:56.2991830Z,2026-09-14T05:11:56.2991830Z
144.24.111.128,1088,socks5,yes,elite,IN,India,Mumbai,Oracle Cloud Infrastructure (ap-mumbai-1),AS31898 Oracle Corporation,853,128,98,12128,2026-09-14T05:10:09.6255072Z,2026-09-14T05:10:09.6255072Z
14.139.235.82,3128,http,yes,anonymous,IN,India,Priol,NIB,AS9829 National Internet Backbone,1025,206,93.1,9857,2026-09-14T05:13:13.0154139Z,2026-09-14T05:13:13.0154139Z
103.151.107.134,80,http,yes,anonymous,IN,India,Noida,Techtreno Solutions Private Limited,AS150078 TECHTRENO SOLUTIONS PRIVATE LIMITED,1197,1188,91.4,70,2026-09-14T05:13:55.9965018Z,2026-09-14T05:13:55.9965018Z
151.185.58.17,80,http,no,elite,IN,India,New Delhi,E2E Networks Limited,AS132420 E2E NETWORKS,1456,169,93.5,154,2026-09-14T05:11:46.5940861Z,2026-09-14T05:11:46.5940861Z
121.35.254.227,19000,socks5,yes,elite,IN,India,Panjaur,Ihostnet,AS134268 IHOSTNET,4422,1424,82.4,1267,2026-09-14T05:13:31.4892779Z,2026-09-14T05:13:31.4892779Z
