ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
5.200.72.62,3128,http,yes,transparent,IR,Iran,Tehran,Bahar Samaneh Shargh,AS24631 Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,366,80,89.3,857,2026-08-06T23:19:59.6860283Z,2026-08-06T23:19:59.6860283Z
94.182.177.92,80,http,no,elite,IR,Iran,Tehran,Aria Shatel PJSC,AS31549 Aria Shatel PJSC,420,87,82.3,858,2026-08-06T23:28:05.2092072Z,2026-08-06T23:28:05.2092072Z
185.142.156.229,2080,socks4,yes,elite,IR,Iran,Qom,Amin IDC Networks,AS48147 Asre Pardazeshe Ettelaate Amin Institute,458,93,99.7,1162,2026-08-06T23:29:01.9774144Z,2026-08-06T23:29:01.9774144Z
178.252.180.59,10909,http,yes,elite,IR,Iran,Tehran,GOSTARESH MABNA COMPANY (Private Joint Stock),AS51074 GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joint Stock),511,103,94,857,2026-08-06T23:28:22.0675177Z,2026-08-06T23:28:22.0675177Z
2.177.81.45,3128,http,yes,elite,IR,Iran,Tehran,Information Technology Company,AS58224 Iran Telecommunication Company PJS,528,83,67.6,71,2026-08-06T23:25:55.1423626Z,2026-08-06T23:25:55.1423626Z
217.218.179.33,10808,socks4,yes,elite,IR,Iran,Tehran,Iran Information Technology Company PJSC,AS58224 Iran Telecommunication Company PJS,694,71,96.1,76,2026-08-06T23:27:26.3753018Z,2026-08-06T23:27:26.3753018Z
185.88.177.40,80,http,no,elite,IR,Iran,Sadra,Sevenhost,AS201691 Fannavari Etelaate Samane Kavoshgar Ide Ltd.,787,82,87.8,724,2026-08-06T23:27:32.8139145Z,2026-08-06T23:27:32.8139145Z
5.160.103.246,8080,socks4,yes,elite,IR,Iran,Tehran,IP Master Group LLC FZ,AS42337 Respina Networks & Beyond PJSC,1556,100,23.1,13,2026-08-06T23:25:36.2467063Z,2026-08-06T23:25:36.2467063Z
2.181.34.250,8080,http,yes,transparent,IR,Iran,Babol,Telecommunication Company,AS58224 Iran Telecommunication Company PJS,1784,86,40,10,2026-08-06T23:24:55.9825521Z,2026-08-06T23:24:55.9825521Z
185.140.232.54,8080,http,yes,transparent,IR,Iran,Shiraz,Ayandeh,AS43395 Pooya Parto Qeshm Cooperative Company,3612,1191,86.7,15,2026-08-06T23:27:53.6369261Z,2026-08-06T23:27:53.6369261Z
