ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
45.146.163.31,80,http,no,elite,JP,Japan,Tokyo,IPXO,AS38136 Akari Networks,943,233,99.9,7158,2026-08-28T03:54:08.2678094Z,2026-08-28T03:54:08.2678094Z
203.99.240.182,80,http,no,elite,JP,Japan,Minato,ITOCHU Techno-Solutions Corporation,AS24270 ITOCHU Techno-Solutions Corporation,997,497,99.9,7166,2026-08-28T03:53:00.5222205Z,2026-08-28T03:53:00.5222205Z
203.99.240.179,80,http,no,elite,JP,Japan,Minato,ITOCHU Techno-Solutions Corporation,AS24270 ITOCHU Techno-Solutions Corporation,1003,493,99.8,7169,2026-08-28T03:53:00.5237077Z,2026-08-28T03:53:00.5237077Z
114.94.148.37,18080,http,no,elite,JP,Japan,Minamishinagawa,Ipxo,AS10111 Zeofast Network,1028,234,98.7,6710,2026-08-28T03:51:38.6472234Z,2026-08-28T03:51:38.6472234Z
43.133.175.183,7890,http,no,elite,JP,Japan,Tokyo,Tencent Cloud Computing,"AS132203 Tencent Building, Kejizhongyi Avenue",1110,273,97.6,3927,2026-08-28T03:51:26.7423140Z,2026-08-28T03:51:26.7423140Z
8.209.255.13,3128,http,no,transparent,JP,Japan,Tokyo,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",1124,260,95.4,7087,2026-08-28T03:54:26.9483557Z,2026-08-28T03:54:26.9483557Z
153.135.4.238,8080,http,yes,transparent,JP,Japan,Nakamurachō,Open Computer Network,"AS4713 NTT DOCOMO BUSINESS,Inc.",1137,270,90.5,634,2026-08-28T03:53:00.4360800Z,2026-08-28T03:53:00.4360800Z
202.112.47.29,7890,http,yes,elite,JP,Japan,Tokyo,IKUUU NETWORK LTD,AS134972 IKUUU NETWORK LTD,1259,227,100,41,2026-08-28T03:54:51.5126248Z,2026-08-28T03:54:51.5126248Z
112.28.149.154,8443,socks5,yes,elite,JP,Japan,Tokyo,Akari Networks Limited,AS38136 Akari Networks,1339,207,91.2,1516,2026-08-28T03:50:34.1867855Z,2026-08-28T03:50:34.1867855Z
101.36.104.46,10808,socks5,yes,elite,JP,Japan,Tokyo,Ucloud Information Technology,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1563,256,90.1,7396,2026-08-28T03:52:56.9949650Z,2026-08-28T03:52:56.9949650Z
103.75.118.84,1080,socks5,yes,elite,JP,Japan,Tokyo,Oneprovider.com,"AS136258 BrainStorm Network, Inc",1596,1273,91.5,4241,2026-08-28T03:51:17.0665320Z,2026-08-28T03:51:17.0665320Z
101.36.104.239,10808,socks5,yes,elite,JP,Japan,Tokyo,Ucloud Information Technology,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1833,261,91.3,7381,2026-08-28T03:53:39.5158937Z,2026-08-28T03:53:39.5158937Z
45.43.60.220,8080,http,yes,elite,JP,Japan,Tokyo,UCLOUD,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1955,246,51.3,1297,2026-08-28T03:49:46.8819841Z,2026-08-28T03:49:46.8819841Z
112.5.173.148,63180,socks4,yes,elite,JP,Japan,Tokyo,Mytek Trading PTY LTD,AS132825 MYTEK TRADING PTY LTD,2586,271,71.1,90,2026-08-28T03:52:43.4612521Z,2026-08-28T03:52:43.4612521Z
34.84.162.206,38081,socks5,no,elite,JP,Japan,Tokyo,Google Cloud (asia-northeast1),AS396982 Google LLC,2736,240,58.8,34,2026-08-28T03:53:12.6351235Z,2026-08-28T03:53:12.6351235Z
5.75.133.113,10811,socks5,yes,elite,JP,Japan,Tokyo,Cdnext TYO,AS212238 Datacamp Limited,2773,0,77.4,585,2026-08-28T03:51:40.7257127Z,2026-08-28T03:51:40.7257127Z
112.28.149.152,8443,http,yes,elite,JP,Japan,Tokyo,Akari Networks Limited,AS38136 Akari Networks,3948,225,91.1,7095,2026-08-28T03:53:28.1085617Z,2026-08-28T03:53:28.1085617Z
