ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
183.110.216.128,8091,http,no,anonymous,KR,South Korea,Seongnam-si,Kornet,AS4766 Korea Telecom,788,196,93.2,352,2026-08-04T03:37:49.2530963Z,2026-08-04T03:37:49.2530963Z
183.110.216.159,8090,http,no,anonymous,KR,South Korea,Seongnam-si,Kornet,AS4766 Korea Telecom,789,208,92.2,373,2026-08-04T03:38:03.1640113Z,2026-08-04T03:38:03.1640113Z
183.110.216.128,8090,http,no,anonymous,KR,South Korea,Seongnam-si,Kornet,AS4766 Korea Telecom,809,1252,92.2,347,2026-08-04T03:35:44.3801806Z,2026-08-04T03:35:44.3801806Z
183.110.216.159,8091,http,no,anonymous,KR,South Korea,Seongnam-si,Kornet,AS4766 Korea Telecom,818,211,94.8,368,2026-08-04T03:37:49.2993967Z,2026-08-04T03:37:49.2993967Z
1.231.81.166,3128,http,yes,transparent,KR,South Korea,Jongno-gu,broadNnet,AS9318 SK Broadband Co Ltd,1144,286,99.4,359,2026-08-04T03:36:19.3459764Z,2026-08-04T03:36:19.3459764Z
8.213.151.128,3128,http,no,transparent,KR,South Korea,Seoul,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",1165,287,98.1,362,2026-08-04T03:39:11.8416265Z,2026-08-04T03:39:11.8416265Z
219.249.37.107,8382,http,no,elite,KR,South Korea,Busan,broadNnet,AS9318 SK Broadband Co Ltd,1187,296,88.6,289,2026-08-04T03:38:12.1623870Z,2026-08-04T03:38:12.1623870Z
219.249.37.107,8380,http,no,elite,KR,South Korea,Busan,broadNnet,AS9318 SK Broadband Co Ltd,1195,299,90.8,292,2026-08-04T03:38:12.1741682Z,2026-08-04T03:38:12.1741682Z
219.249.37.107,8197,http,no,elite,KR,South Korea,Busan,broadNnet,AS9318 SK Broadband Co Ltd,1217,296,89.6,289,2026-08-04T03:38:03.6807361Z,2026-08-04T03:38:03.6807361Z
218.52.249.121,1080,socks5,yes,elite,KR,South Korea,Seo-gu,SK Broadband Co Ltd,AS9318 SK Broadband Co Ltd,1783,295,86.3,263,2026-08-04T03:39:18.1674951Z,2026-08-04T03:39:18.1674951Z
121.169.46.116,1090,socks5,yes,elite,KR,South Korea,Suwon,Sudogwongangnambonbujang,AS4766 Korea Telecom,3352,197,82,333,2026-08-04T03:36:46.4580306Z,2026-08-04T03:36:46.4580306Z
43.164.136.189,1080,socks5,yes,elite,KR,South Korea,Seoul,"Tencent Cloud Computing (Beijing) Co., Ltd","AS132203 Tencent Building, Kejizhongyi Avenue",4745,291,93.2,370,2026-08-04T03:38:28.0899393Z,2026-08-04T03:38:28.0899393Z
