ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
196.64.96.47,1081,http,no,transparent,MA,Morocco,Rabat,MarocTelecomASDL,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,334,87,96.2,53,2026-08-29T06:07:43.7164871Z,2026-08-29T06:07:43.7164871Z
196.64.102.187,1081,http,yes,transparent,MA,Morocco,Rabat,MarocTelecomASDL,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,419,88,95,20,2026-08-29T06:12:01.7839413Z,2026-08-29T06:12:01.7839413Z
196.64.98.77,1081,http,no,transparent,MA,Morocco,Rabat,MarocTelecomASDL,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,426,85,100,3,2026-08-29T06:15:08.0952840Z,2026-08-29T06:15:08.0952840Z
196.64.105.104,1011,http,yes,transparent,MA,Morocco,Rabat,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,432,88,100,10,2026-08-29T05:25:26.5572205Z,2026-08-29T05:25:26.5572205Z
196.64.103.97,1081,http,yes,transparent,MA,Morocco,Rabat,MarocTelecomASDL,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,446,90,88.2,17,2026-08-29T06:10:56.3129155Z,2026-08-29T06:10:56.3129155Z
196.64.105.104,1081,http,yes,transparent,MA,Morocco,Rabat,MarocTelecomASDL,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,446,97,100,76,2026-08-29T06:12:15.5715916Z,2026-08-29T06:12:15.5715916Z
196.64.111.231,1081,http,yes,transparent,MA,Morocco,Rabat,MarocTelecomASDL,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,461,105,100,8,2026-08-29T06:11:19.8722417Z,2026-08-29T06:11:19.8722417Z
196.64.100.149,1081,http,no,transparent,MA,Morocco,Rabat,MarocTelecomASDL,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,819,91,90.5,21,2026-08-29T06:14:53.1024868Z,2026-08-29T06:14:53.1024868Z
196.64.97.161,1081,http,no,transparent,MA,Morocco,Rabat,MarocTelecomASDL,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,1104,91,100,13,2026-08-29T06:13:44.6358063Z,2026-08-29T06:13:44.6358063Z
196.64.97.9,1380,http,yes,transparent,MA,Morocco,Rabat,ADSL Maroc telecom,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,1501,82,100,5,2026-08-29T06:12:13.1130624Z,2026-08-29T06:12:13.1130624Z
196.64.97.9,1081,http,no,transparent,MA,Morocco,Rabat,MarocTelecomASDL,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,1614,90,100,26,2026-08-29T06:11:59.5588176Z,2026-08-29T06:11:59.5588176Z
