ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
103.88.234.239,40006,http,yes,elite,MX,Mexico,León,Cloudflare WARP,"AS13335 Cloudflare, Inc.",637,158,97.7,830,2026-09-20T07:40:55.2982010Z,2026-09-20T07:40:55.2982010Z
103.88.234.239,40002,http,yes,elite,MX,Mexico,León,Cloudflare WARP,"AS13335 Cloudflare, Inc.",659,154,98.4,760,2026-09-20T07:41:08.0461981Z,2026-09-20T07:41:08.0461981Z
103.88.234.239,40010,http,yes,elite,MX,Mexico,León,Cloudflare WARP,"AS13335 Cloudflare, Inc.",667,157,97.6,833,2026-09-20T07:42:11.8375999Z,2026-09-20T07:42:11.8375999Z
189.202.188.149,80,http,no,elite,MX,Mexico,Kanasín,"Operbes, S.A. de C.V","AS18734 Operbes, S.A. de C.V.",680,339,99.9,13745,2026-09-20T07:43:27.5666580Z,2026-09-20T07:43:27.5666580Z
103.88.234.239,40011,http,yes,elite,MX,Mexico,León,Cloudflare WARP,"AS13335 Cloudflare, Inc.",682,153,98.2,765,2026-09-20T07:40:42.6999404Z,2026-09-20T07:40:42.6999404Z
189.51.168.164,999,http,yes,transparent,MX,Mexico,Mérida,Comunicación por Fibra SA de CV,AS270111 Comunicación por Fibra SA de CV,719,163,91,6421,2026-09-20T07:43:52.1048760Z,2026-09-20T07:43:52.1048760Z
189.203.181.34,1080,socks4,yes,elite,MX,Mexico,Cuauhtémoc,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V","AS22884 TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",772,153,63.3,226,2026-09-20T07:44:17.2070259Z,2026-09-20T07:44:17.2070259Z
201.140.185.41,8007,http,no,elite,MX,Mexico,Cancún,G Tel Comunicacion SAPI de CV - Sureste,AS28506 Sistemas de Communicacion GM S.A. de C.V.,1257,188,66.7,3,2026-09-20T07:40:09.0109199Z,2026-09-20T07:40:09.0109199Z
38.194.246.34,999,http,yes,transparent,MX,Mexico,Huauchinango,IENTC S de RL de CV,AS28458 IENTC S DE RL DE CV,3719,147,28.3,322,2026-09-20T07:40:52.4962160Z,2026-09-20T07:40:52.4962160Z
111.119.162.248,10921,socks4,yes,elite,MX,Mexico,Querétaro City,Zenlayer Inc,"AS45102 Alibaba (US) Technology Co., Ltd.",4351,1199,50.7,288,2026-09-20T07:43:08.7513959Z,2026-09-20T07:43:08.7513959Z
45.189.252.49,999,http,yes,transparent,MX,Mexico,Lerdo de Tejada,Tracered SA De CV,AS265613 TRACERED SA DE CV,7634,165,28.6,28,2026-09-20T07:44:48.0879293Z,2026-09-20T07:44:48.0879293Z
