ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
219.93.101.62,80,http,no,anonymous,MY,Malaysia,Kuala Lumpur,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,766,187,99.7,2041,2026-08-10T01:45:04.6542590Z,2026-08-10T01:45:04.6542590Z
219.93.101.63,80,http,no,anonymous,MY,Malaysia,Kuala Lumpur,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,817,210,99.7,2041,2026-08-10T01:49:27.1982128Z,2026-08-10T01:49:27.1982128Z
219.93.101.60,80,http,no,anonymous,MY,Malaysia,Kuala Lumpur,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,844,200,99.8,2040,2026-08-10T01:45:40.2244884Z,2026-08-10T01:45:40.2244884Z
103.95.34.186,3128,http,no,elite,MY,Malaysia,Shah Alam,KS IT SOLUTIONS SDN BHD,AS136749 KS IT SOLUTIONS SDN BHD,1097,262,100,230,2026-08-10T01:49:03.0697406Z,2026-08-10T01:49:03.0697406Z
47.250.211.53,1080,socks5,yes,elite,MY,Malaysia,Kuala Lumpur,Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",1185,174,99.6,446,2026-08-10T01:49:39.1658378Z,2026-08-10T01:49:39.1658378Z
47.250.115.134,1080,socks5,no,elite,MY,Malaysia,Kuala Lumpur,Alibaba Cloud - MY,"AS45102 Alibaba (US) Technology Co., Ltd.",1210,238,33.9,248,2026-08-10T01:46:14.7303579Z,2026-08-10T01:46:14.7303579Z
175.139.233.79,80,http,no,anonymous,MY,Malaysia,Cyberjaya,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,1461,397,71.5,629,2026-08-10T01:49:09.5826291Z,2026-08-10T01:49:09.5826291Z
175.136.239.174,8181,http,yes,transparent,MY,Malaysia,Kuala Lumpur,Telekom Malaysia Berhad,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,1709,216,74.9,1894,2026-08-10T01:47:51.4562932Z,2026-08-10T01:47:51.4562932Z
175.143.76.177,8181,http,yes,transparent,MY,Malaysia,Kuala Lumpur,Telekom Malaysia Berhad,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,1916,182,75.1,1842,2026-08-10T01:49:28.2695868Z,2026-08-10T01:49:28.2695868Z
175.139.233.78,80,http,no,anonymous,MY,Malaysia,Kuala Lumpur,Adsl Streamyx,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,2536,644,34.3,67,2026-08-10T01:47:52.2955496Z,2026-08-10T01:47:52.2955496Z
175.139.255.25,8181,http,yes,transparent,MY,Malaysia,Kuala Lumpur,Telekom Malaysia Berhad,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,3384,1229,76.2,1726,2026-08-10T01:49:57.3032705Z,2026-08-10T01:49:57.3032705Z
