ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
204.76.203.9,3128,http,yes,elite,NL,The Netherlands,Eygelshoven,Intelligence Hosting LLC,AS51396 Pfcloud UG,42,12,99.6,7921,2026-09-03T19:35:15.0140661Z,2026-09-03T19:35:15.0140661Z
45.94.37.62,3128,http,yes,elite,NL,The Netherlands,Amsterdam,RapidSeedbox Ltd,AS203273 NetCrafters OU,50,9,98.3,180,2026-09-03T19:36:54.7453788Z,2026-09-03T19:36:54.7453788Z
72.56.73.23,80,http,no,elite,NL,The Netherlands,Amsterdam,"Timeweb, LLP","AS210976 Timeweb, LLP",71,10,77.1,1439,2026-09-03T19:37:22.0711075Z,2026-09-03T19:37:22.0711075Z
195.26.224.135,80,http,no,elite,NL,The Netherlands,Amsterdam,Servers Tech Fzco,AS216071 SERVERS TECH FZCO,71,11,87.6,7640,2026-09-03T19:38:23.8473961Z,2026-09-03T19:38:23.8473961Z
213.165.38.49,1080,socks5,yes,elite,NL,The Netherlands,Amsterdam,Aeza International LTD,AS210644 AEZA GROUP LLC,71,9,95,2739,2026-09-03T19:38:23.8468348Z,2026-09-03T19:38:23.8468348Z
95.211.174.135,3128,http,yes,anonymous,NL,The Netherlands,Haarlem,LeaseWeb Netherlands B.V.,AS60781 LeaseWeb Netherlands B.V.,78,16,76,5060,2026-09-03T19:37:06.0719433Z,2026-09-03T19:37:06.0719433Z
204.76.203.9,8080,http,yes,elite,NL,The Netherlands,Eygelshoven,Intelligence Hosting LLC,AS51396 Pfcloud UG,82,12,99.4,5795,2026-09-03T19:39:38.2049159Z,2026-09-03T19:39:38.2049159Z
5.255.123.162,1080,socks5,yes,elite,NL,The Netherlands,Dronten,TIG,AS60404 The Infrastructure Group B.V.,132,21,60.2,2402,2026-09-03T19:37:27.9905670Z,2026-09-03T19:37:27.9905670Z
5.129.228.92,443,http,yes,elite,NL,The Netherlands,Amsterdam,Cloudflare WARP,"AS13335 Cloudflare, Inc.",133,10,84.3,3956,2026-09-03T19:35:20.3765005Z,2026-09-03T19:35:20.3765005Z
5.255.117.127,1080,socks5,yes,elite,NL,The Netherlands,Dronten,TIG,AS60404 The Infrastructure Group B.V.,137,20,74.9,4672,2026-09-03T19:37:22.1479099Z,2026-09-03T19:37:22.1479099Z
5.255.99.75,1080,socks5,yes,elite,NL,The Netherlands,Dronten,TIG,AS60404 The Infrastructure Group B.V.,1176,20,56.4,1618,2026-09-03T19:35:44.0892552Z,2026-09-03T19:35:44.0892552Z
