ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
178.212.144.7,80,http,no,transparent,PL,Poland,Sokółka,,,68,33,99.7,14018,2026-09-21T03:03:53.8125113Z,2026-09-21T03:03:53.8125113Z
77.65.50.118,34159,socks4,yes,elite,PL,Poland,Robakowo,Inea S.A,AS13110 INEA sp. z o.o.,152,26,59.5,598,2026-09-21T03:00:57.4789940Z,2026-09-21T03:00:57.4789940Z
104.245.245.218,1080,socks5,yes,elite,PL,Poland,Warsaw,QuadSpark IT Solutions Private Limited,AS201814 MEVSPACE sp. z o.o.,190,29,100,87,2026-09-21T03:04:07.0829382Z,2026-09-21T03:04:07.0829382Z
5.75.133.113,10805,socks5,yes,elite,PL,Poland,Warsaw,M247 Ltd Warsaw,AS9009 M247 Europe SRL,191,0,94.2,104,2026-09-21T03:00:41.8177681Z,2026-09-21T03:00:41.8177681Z
194.88.150.90,8443,http,yes,elite,PL,Poland,Warsaw,"LLC ""POLYUS-2014""",AS203273 NetCrafters OU,194,17,97.2,354,2026-09-21T03:01:40.1364324Z,2026-09-21T03:01:40.1364324Z
88.220.133.87,4153,socks4,yes,elite,PL,Poland,Warsaw,Connected by EXATEL S.A.,AS20804 Exatel S.A.,316,2113,23.4,274,2026-09-21T03:04:41.4432826Z,2026-09-21T03:04:41.4432826Z
151.243.196.252,1080,socks5,yes,elite,PL,Poland,Warsaw,Hostkey B.V,AS57043 HOSTKEY B.V.,319,23,98.6,287,2026-09-21T03:02:13.2391368Z,2026-09-21T03:02:13.2391368Z
151.243.196.252,1081,socks5,yes,elite,PL,Poland,Warsaw,Hostkey B.V,AS57043 HOSTKEY B.V.,423,22,94,134,2026-09-21T03:00:37.0379855Z,2026-09-21T03:00:37.0379855Z
194.88.150.90,1080,socks5,yes,elite,PL,Poland,Warsaw,"LLC ""POLYUS-2014""",AS203273 NetCrafters OU,454,17,96.2,574,2026-09-21T03:00:21.1787965Z,2026-09-21T03:00:21.1787965Z
185.232.155.243,1080,http,yes,elite,PL,Poland,Warsaw,3HCloud LLC,AS49791 Newserverlife LLC,4488,69,73.3,15,2026-09-21T03:03:21.1995946Z,2026-09-21T03:03:21.1995946Z
