ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
46.47.197.210,3128,http,no,elite,RU,Russia,St Petersburg,JSC PeterStar,AS20632 PJSC MegaFon,181,40,96.3,3777,2026-08-16T04:37:25.1873209Z,2026-08-16T04:37:25.1873209Z
79.174.12.190,80,http,no,elite,RU,Russia,Moscow,Aoiot,AS29182 JSC IOT,192,47,74.7,407,2026-08-16T04:38:45.8694202Z,2026-08-16T04:38:45.8694202Z
80.93.61.39,1080,http,yes,elite,RU,Russia,St Petersburg,SpaceWeb Ltd,AS44112 SpaceWeb Ltd,194,39,97.1,486,2026-08-16T04:37:25.2002391Z,2026-08-16T04:37:25.2002391Z
37.110.145.57,8081,http,no,transparent,RU,Russia,Moscow,NCNET,AS42610 OJSC National Cable Networks,205,47,90.5,2404,2026-08-16T04:39:03.2095421Z,2026-08-16T04:39:03.2095421Z
91.233.169.23,8081,http,no,transparent,RU,Russia,St Petersburg,Excellent Signalman LLC,AS42765 EXCELLENT SIGNALMAN LLC,262,47,60,455,2026-08-16T04:35:36.6715101Z,2026-08-16T04:35:36.6715101Z
193.233.218.213,1080,socks5,yes,elite,RU,Russia,St Petersburg,Aeza Group LLC,AS216246 Aeza Group LLC,277,34,92.7,3635,2026-08-16T04:38:29.0818924Z,2026-08-16T04:38:29.0818924Z
176.99.134.183,8090,http,no,elite,RU,Russia,Moscow,Inetcom LLC,AS35598 INETCOM CARRIER LLC,285,49,93.9,3858,2026-08-16T04:39:25.0756419Z,2026-08-16T04:39:25.0756419Z
130.193.43.183,1080,socks5,yes,elite,RU,Russia,Moscow,Yandex LLC,AS200350 Yandex.Cloud LLC,295,47,97.3,330,2026-08-16T04:37:08.1672171Z,2026-08-16T04:37:08.1672171Z
95.31.16.116,1081,socks5,yes,elite,RU,Russia,Moscow,CORBINA-BROADBAND,AS8402 PJSC Vimpelcom,374,50,99,194,2026-08-16T04:36:03.9503894Z,2026-08-16T04:36:03.9503894Z
193.168.137.182,1080,socks5,yes,elite,RU,Russia,Moscow,Selectel,AS50340 JSC Selectel,384,46,100,12,2026-08-16T04:35:24.9290636Z,2026-08-16T04:35:24.9290636Z
185.239.50.122,10808,http,yes,elite,RU,Russia,Moscow,Adminvps,AS211183 AdminVPS OOO,453,106,77.2,3251,2026-08-16T04:36:12.7272589Z,2026-08-16T04:36:12.7272589Z
185.200.188.234,10001,http,yes,elite,RU,Russia,Moscow,Gorizont LLC,AS209641 IHOR HOSTING LTD,527,53,99.5,3499,2026-08-16T04:39:44.3664845Z,2026-08-16T04:39:44.3664845Z
195.133.53.59,10808,socks5,yes,elite,RU,Russia,Novosibirsk,Baxet Group Inc,AS49392 LLC Baxet,562,89,68.1,326,2026-08-16T04:36:24.6024001Z,2026-08-16T04:36:24.6024001Z
85.193.65.88,8888,http,yes,elite,RU,Russia,Moscow,KTK rIP2,AS203451 K-telekom LLC,901,248,89.1,320,2026-08-16T04:39:27.4417538Z,2026-08-16T04:39:27.4417538Z
158.160.181.228,1080,socks4,yes,elite,RU,Russia,Moscow,Yandex.Cloud LLC,AS200350 Yandex.Cloud LLC,1266,2100,87,131,2026-08-16T04:38:48.9966014Z,2026-08-16T04:38:48.9966014Z
95.31.144.233,1080,http,yes,elite,RU,Russia,Moscow,Cloudflare WARP,"AS13335 Cloudflare, Inc.",1612,62,88.8,125,2026-08-16T04:38:16.2102297Z,2026-08-16T04:38:16.2102297Z
5.137.74.159,1080,socks5,yes,elite,RU,Russia,Novosibirsk,JSC Rostelecom regional branch Siberia,AS12389 PJSC Rostelecom,2123,92,52.4,21,2026-08-16T04:39:21.4687950Z,2026-08-16T04:39:21.4687950Z
164.138.39.224,5678,socks4,yes,elite,RU,Russia,Ufa,City Telecom Network,AS196797 Joint Stock Company TransTeleCom,2435,1101,100,12,2026-08-16T04:35:43.4451572Z,2026-08-16T04:35:43.4451572Z
46.241.57.29,1080,socks5,yes,elite,RU,Russia,Zarinsk,JSC Zap-Sib TransTeleCom,AS21127 Joint Stock Company TransTeleCom,2650,2111,36.1,61,2026-08-16T04:39:43.0851051Z,2026-08-16T04:39:43.0851051Z
109.94.1.23,4050,http,yes,transparent,RU,Russia,Podolsk,Quartz Telecom LLC,AS50009 QUARTZ TELECOM LLC,3615,33,76.9,2410,2026-08-16T04:35:28.1465725Z,2026-08-16T04:35:28.1465725Z
31.28.4.192,80,http,no,elite,RU,Russia,Moscow,Filanco,AS29076 Citytelecom LLC,3911,45,49.2,769,2026-08-16T04:35:46.0643528Z,2026-08-16T04:35:46.0643528Z
144.31.222.106,7890,socks4,yes,elite,RU,Russia,Moscow,Cloudflare WARP,"AS13335 Cloudflare, Inc.",5303,49,76.5,2243,2026-08-16T04:37:30.3185783Z,2026-08-16T04:37:30.3185783Z
