ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
167.86.111.116,3128,http,no,transparent,SE,Sweden,Solna,R0CKET-CLOUD,AS214503 QuxLabs AB,425,6,76.8,3133,2026-09-24T03:44:42.7618301Z,2026-09-24T03:44:42.7618301Z
67.205.161.254,8118,http,yes,elite,SE,Sweden,Stockholm,KeFF Networks Ltd,AS41281 KeFF Networks Ltd,468,86,38.5,13,2026-09-24T03:40:24.5402577Z,2026-09-24T03:40:24.5402577Z
141.95.53.104,9898,http,no,transparent,SE,Sweden,Solna,R0CKET-CLOUD,AS214503 QuxLabs AB,636,11,79.6,1768,2026-09-24T03:37:27.4830823Z,2026-09-24T03:37:27.4830823Z
5.75.133.113,10801,socks5,yes,elite,SE,Sweden,Stockholm,Kustbandet AB,AS51815 Kustbandet AB,818,4,73.6,3669,2026-09-24T03:44:10.8316946Z,2026-09-24T03:44:10.8316946Z
62.60.231.45,10808,socks4,yes,elite,SE,Sweden,Stockholm,NetCrafters OU,AS210644 AEZA GROUP LLC,1232,44,74.7,553,2026-09-24T03:40:25.2625646Z,2026-09-24T03:40:25.2625646Z
171.25.158.95,1080,socks5,yes,elite,SE,Sweden,Vaxjo,Kronnet,AS35100 Patrik Lagerman,1290,73,86.5,473,2026-09-24T03:40:18.6758728Z,2026-09-24T03:40:18.6758728Z
57.128.231.218,1001,socks4,yes,elite,SE,Sweden,Stockholm,31173 Services AB,AS39351 31173 Services AB,1481,20,87.5,1888,2026-09-24T03:44:16.6069215Z,2026-09-24T03:44:16.6069215Z
72.36.32.222,9050,socks4,yes,elite,SE,Sweden,Stockholm,DFRI,AS198093 Foreningen for digitala fri- och rattigheter,1508,203,28.6,14,2026-09-24T03:41:41.0528064Z,2026-09-24T03:41:41.0528064Z
217.182.195.221,30004,http,no,transparent,SE,Sweden,Stockholm,DFRI,AS198093 Foreningen for digitala fri- och rattigheter,2971,13,63.6,568,2026-09-24T03:43:29.7063099Z,2026-09-24T03:43:29.7063099Z
5.161.50.82,8118,http,no,elite,SE,Sweden,Solna,R0CKET-CLOUD,AS214503 QuxLabs AB,6140,1160,25.3,95,2026-09-24T03:43:23.3018964Z,2026-09-24T03:43:23.3018964Z
