ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
43.98.172.166,3128,http,yes,transparent,SG,Singapore,Singapore,Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",649,154,93.3,4209,2026-09-08T08:46:45.4975544Z,2026-09-08T08:46:45.4975544Z
43.160.242.118,3128,http,yes,elite,SG,Singapore,Singapore,"Tencent Cloud Computing (Beijing) Co., Ltd","AS132203 Tencent Building, Kejizhongyi Avenue",809,243,81.7,6974,2026-09-08T08:45:13.0486613Z,2026-09-08T08:45:13.0486613Z
143.42.66.91,80,http,no,elite,SG,Singapore,Singapore,M1 Ltd,AS4773 MobileOne Ltd. Mobile/Internet Service Provider Singapore,839,252,95.5,9745,2026-09-08T08:46:45.7839290Z,2026-09-08T08:46:45.7839290Z
47.76.157.216,8118,http,yes,elite,SG,Singapore,Singapore,Wisdom Cloud Internet Technology Pte. Ltd.,AS197537 WISDOM CLOUD INTERNET TECHNOLOGY PTE. LTD.,994,245,98.6,211,2026-09-08T08:49:00.0234004Z,2026-09-08T08:49:00.0234004Z
129.226.93.232,80,http,no,transparent,SG,Singapore,Singapore,Tencent Cloud Computing,"AS132203 Tencent Building, Kejizhongyi Avenue",1014,327,99.2,7691,2026-09-08T08:45:13.3375732Z,2026-09-08T08:45:13.3375732Z
152.69.211.50,40001,socks4,no,elite,SG,Singapore,Singapore,Cloudflare WARP,"AS13335 Cloudflare, Inc.",1081,156,68.3,2590,2026-09-08T08:47:40.2536270Z,2026-09-08T08:47:40.2536270Z
8.219.97.248,80,http,yes,elite,SG,Singapore,Singapore,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",2708,157,82.5,10913,2026-09-08T08:48:15.0413812Z,2026-09-08T08:48:15.0413812Z
172.237.73.24,80,http,no,elite,SG,Singapore,Singapore,"Akamai Technologies, Inc.",AS63949 Akamai Connected Cloud,3637,334,97.8,1473,2026-09-08T08:49:55.8340168Z,2026-09-08T08:49:55.8340168Z
43.160.255.142,7890,socks4,no,elite,SG,Singapore,Singapore,Aceville Pte.ltd,"AS132203 Tencent Building, Kejizhongyi Avenue",6372,159,64.7,5745,2026-09-08T08:49:01.8613229Z,2026-09-08T08:49:01.8613229Z
144.31.185.62,8080,http,yes,elite,SG,Singapore,Singapore,"DigitalOcean, LLC","AS14061 DigitalOcean, LLC",6640,32,74.7,2023,2026-09-08T08:48:24.5320608Z,2026-09-08T08:48:24.5320608Z
