ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
171.4.176.16,8080,http,yes,transparent,TH,Thailand,Wihan Daeng,Jasmine International Public Company Limited,AS45758 Triple T Broadband Public Company Limited,787,185,50,100,2026-09-19T06:45:24.3640545Z,2026-09-19T06:45:24.3640545Z
49.48.81.71,8080,http,yes,transparent,TH,Thailand,Nakhon Ratchasima,Triple T Broadband Public Company Limited,AS45758 Triple T Broadband Public Company Limited,808,189,84.1,170,2026-09-19T06:49:15.8244237Z,2026-09-19T06:49:15.8244237Z
183.89.250.246,1080,socks4,yes,elite,TH,Thailand,Mueang Samut Prakan,Triple T Broadband Public Company Limited,AS45758 Triple T Broadband Public Company Limited,904,182,65,331,2026-09-19T06:45:51.0621118Z,2026-09-19T06:45:51.0621118Z
223.204.177.52,3128,http,yes,transparent,TH,Thailand,Pattani,Triple T Broadband Public Company Limited,AS45758 Triple T Broadband Public Company Limited,908,192,92.3,26,2026-09-19T06:47:02.3280823Z,2026-09-19T06:47:02.3280823Z
183.88.219.206,34676,socks4,yes,elite,TH,Thailand,Kanchanaburi,Triple T Broadband Public Company Limited,AS45758 Triple T Broadband Public Company Limited,925,180,54.1,229,2026-09-19T06:49:48.0297402Z,2026-09-19T06:49:48.0297402Z
183.89.217.91,4153,socks4,yes,elite,TH,Thailand,Lak Si,Triple T Broadband Public Company Limited,AS45758 Triple T Broadband Public Company Limited,933,296,71.4,241,2026-09-19T06:49:15.6069390Z,2026-09-19T06:49:15.6069390Z
171.4.85.65,5678,socks4,yes,elite,TH,Thailand,Tha Mai,Triple T Broadband Public Company Limited,AS45758 Triple T Broadband Public Company Limited,939,185,80.8,240,2026-09-19T06:49:23.9654020Z,2026-09-19T06:49:23.9654020Z
203.150.113.234,14153,socks4,no,elite,TH,Thailand,Bangkok,INEXT Broadband Company Limited,AS4618 Internet Thailand Company Limited,977,2273,44.4,54,2026-09-19T06:47:04.4758571Z,2026-09-19T06:47:04.4758571Z
49.48.81.115,8080,http,yes,transparent,TH,Thailand,Nakhon Ratchasima,Triple T Broadband Public Company Limited,AS45758 Triple T Broadband Public Company Limited,986,184,92.8,138,2026-09-19T06:48:37.0214224Z,2026-09-19T06:48:37.0214224Z
125.26.4.197,4145,socks4,yes,elite,TH,Thailand,Bangkok,TOT Public Company Limited,AS23969 TOT Public Company Limited,1119,2283,21.5,65,2026-09-19T06:46:44.2188844Z,2026-09-19T06:46:44.2188844Z
47.81.56.193,8888,http,no,elite,TH,Thailand,Bangkok,"Delta Centric LLC, Zenlayer Inc","AS45102 Alibaba (US) Technology Co., Ltd.",1174,259,79.1,2043,2026-09-19T06:48:42.5506550Z,2026-09-19T06:48:42.5506550Z
