ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
107.181.155.86,80,http,no,elite,TR,Türkiye,Istanbul,YottaSrc,AS213535 YottaSrc,149,37,98.7,1459,2026-09-24T03:08:57.0439439Z,2026-09-24T03:08:57.0439439Z
31.57.154.251,8082,http,yes,elite,TR,Türkiye,Istanbul,KEYUBU Internet ve Bilisim Tic. Ltd. Sti.,AS210538 KEYUBU Internet ve Bilisim Tic. Ltd. Sti.,200,36,100,1,2026-09-24T03:08:08.9451089Z,2026-09-24T03:08:08.9451089Z
31.58.247.202,1080,socks4,yes,elite,TR,Turkey,Maltepe,Conhost Bilgi Teknolojileri Veri Merkezi Hizmetleri VE Danismanlik Limited Sirketi,AS213799 CONHOST BILGI TEKNOLOJILERI VERI MERKEZI HIZMETLERI VE DANISMANLIK LIMITED SIRKETI,246,48,100,1,2026-09-24T03:08:09.0002234Z,2026-09-24T03:08:09.0002234Z
95.3.69.222,8080,http,yes,transparent,TR,Turkey,Antakya,TurkTelekom,AS9121 Turk Telekomunikasyon Anonim Sirketi,247,49,99.6,14482,2026-09-24T03:10:00.5089775Z,2026-09-24T03:10:00.5089775Z
176.88.166.190,5678,socks4,yes,elite,TR,Turkey,Istanbul,Guneydogu Telekom Internet Bilisim VE Iletisim HIZ TIC LTD,AS34984 Superonline Iletisim Hizmetleri A.S.,285,59,60,5,2026-09-24T03:07:33.9128346Z,2026-09-24T03:07:33.9128346Z
193.164.5.59,11080,socks5,yes,elite,TR,Türkiye,Bursa,Alpmedya - ORG,AS205463 Pembe Gul Isguzar Karagoz,432,47,78.7,122,2026-09-24T03:06:46.3354109Z,2026-09-24T03:06:46.3354109Z
149.86.140.209,8080,http,yes,transparent,TR,Türkiye,Selçuklu,Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi,AS208972 GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,566,128,100,4,2026-09-24T03:08:21.0936954Z,2026-09-24T03:08:21.0936954Z
185.246.113.37,8082,http,yes,elite,TR,Türkiye,Bursa,Vodafone Net Iletisim Hizmetler AS,AS15924 Vodafone Net Iletisim Hizmetler AS,604,51,100,1,2026-09-24T03:08:09.3639536Z,2026-09-24T03:08:09.3639536Z
85.133.250.27,80,http,yes,elite,TR,Turkey,Istanbul,Anycast,AS57568 ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C,3260,80,94,1329,2026-09-24T03:09:56.4613920Z,2026-09-24T03:09:56.4613920Z
195.142.16.13,8080,http,yes,transparent,TR,Türkiye,Kilis,Superonline Iletisim Hizmetleri,AS34984 Superonline Iletisim Hizmetleri A.S.,5312,2099,75,4,2026-09-24T03:05:35.2973893Z,2026-09-24T03:05:35.2973893Z
