ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
176.111.37.5,39811,http,yes,transparent,UA,Ukraine,Dobropol'ye,Cogento Backbone Limited,AS214743 Cogento Backbone Limited,131,24,97.6,12655,2026-09-21T04:48:13.3390276Z,2026-09-21T04:48:13.3390276Z
176.111.37.216,39811,http,yes,transparent,UA,Ukraine,Dobropol'ye,Cogento Backbone Limited,AS214743 Cogento Backbone Limited,131,24,94.1,12032,2026-09-21T04:46:00.8034360Z,2026-09-21T04:46:00.8034360Z
193.106.57.96,5678,socks4,yes,elite,UA,Ukraine,Kyiv,"PE ""Magic-line""","AS42510 FOP ""Makurin Stanislav Volodimirovich""",173,1062,52.6,405,2026-09-21T04:48:08.7847244Z,2026-09-21T04:48:08.7847244Z
185.244.158.4,3129,socks4,yes,elite,UA,Ukraine,Kyiv,Stargroup LLC,AS41985 Stargroup LLC,196,1070,45.4,1274,2026-09-21T04:47:45.0732671Z,2026-09-21T04:47:45.0732671Z
37.52.13.164,5678,socks4,yes,elite,UA,Ukraine,Kyiv,JSC Ukrtelecom,AS6849 JSC Ukrtelecom,212,25,48.6,247,2026-09-21T04:46:00.8870978Z,2026-09-21T04:46:00.8870978Z
195.140.226.32,5678,socks4,yes,elite,UA,Ukraine,Kharkiv,Therecom Ltd,AS56465 Therecom Ltd,282,47,41.3,866,2026-09-21T04:48:13.5135691Z,2026-09-21T04:48:13.5135691Z
134.249.128.111,1080,socks4,yes,elite,UA,Ukraine,Kyiv,Kyivstar LLC,"AS15895 ""Kyivstar"" PJSC",678,43,51.2,260,2026-09-21T04:49:04.0612798Z,2026-09-21T04:49:04.0612798Z
195.66.197.169,39724,http,yes,elite,UA,Ukraine,Hrybivka,ISP Telematika Ltd.,"AS8192 LIMITED LIABILITY COMPANY ""INFOLINK""",910,38,26.9,26,2026-09-21T04:46:37.3965412Z,2026-09-21T04:46:37.3965412Z
195.78.113.38,4153,socks4,yes,elite,UA,Ukraine,Obolon,Valex PJSC,AS49971 PrJSC Valex,970,287,61,82,2026-09-21T04:46:42.9487972Z,2026-09-21T04:46:42.9487972Z
91.247.92.63,5678,socks4,yes,elite,UA,Ukraine,Kharkiv,Privately owned enterprise Alexsandrov Yuriy Viktorovich,AS49389 Privately owned enterprise Alexsandrov Yuriy Viktorovich,2312,1047,36.8,272,2026-09-21T04:46:45.0513893Z,2026-09-21T04:46:45.0513893Z
212.3.127.242,10801,socks5,yes,elite,UA,Ukraine,Dnipro,"Science Production Company ""Trifle"" Ltd","AS6702 Science Production Company ""Trifle"" Ltd.",2483,1110,32.4,145,2026-09-21T04:46:40.0429042Z,2026-09-21T04:46:40.0429042Z
