ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
47.85.161.37,3128,http,no,elite,US,United States,Charlottesville,"Midwest Cable, Delta Centric LLC, Zenlayer Inc","AS45102 Alibaba (US) Technology Co., Ltd.",361,91,99.5,12862,2026-09-20T03:20:57.4930696Z,2026-09-20T03:20:57.4930696Z
142.93.202.130,3128,http,no,transparent,US,United States,North Bergen,"DigitalOcean, LLC","AS14061 DigitalOcean, LLC",366,86,98.3,13780,2026-09-20T03:21:31.6413231Z,2026-09-20T03:21:31.6413231Z
174.138.119.88,80,http,no,elite,US,United States,Clifton,Digital Ocean,"AS14061 DigitalOcean, LLC",367,82,91.3,14126,2026-09-20T03:23:27.3987382Z,2026-09-20T03:23:27.3987382Z
47.89.184.18,3128,http,no,transparent,US,United States,Henrico,ALICLOUD-US,"AS45102 Alibaba (US) Technology Co., Ltd.",368,91,97.1,13819,2026-09-20T03:22:32.4740375Z,2026-09-20T03:22:32.4740375Z
165.227.220.70,40001,http,yes,elite,US,United States,New York,Cloudflare WARP,"AS13335 Cloudflare, Inc.",381,86,92.8,766,2026-09-20T03:24:28.9834139Z,2026-09-20T03:24:28.9834139Z
139.60.209.2,80,http,no,elite,US,United States,Hagerstown,Antietam Broadband,AS14291 Antietam Broadband,390,202,100,3255,2026-09-20T03:22:49.0065875Z,2026-09-20T03:22:49.0065875Z
32.223.6.94,80,http,no,elite,US,United States,Danbury,Frontier and Connecticut Connected Network,AS46690 Verizon Business,398,202,99.7,13714,2026-09-20T03:22:49.0156359Z,2026-09-20T03:22:49.0156359Z
34.43.46.91,443,http,yes,elite,US,United States,Mountain View,Google LLC,AS396982 Google LLC,414,17,78.5,992,2026-09-20T03:24:10.7908792Z,2026-09-20T03:24:10.7908792Z
34.43.46.91,80,http,yes,elite,US,United States,Mountain View,Google LLC,AS396982 Google LLC,417,16,92.3,39,2026-09-20T03:21:53.5447384Z,2026-09-20T03:21:53.5447384Z
45.91.248.107,80,http,no,elite,US,United States,Staten Island,Cloudflare WARP,"AS13335 Cloudflare, Inc.",418,90,98.9,2681,2026-09-20T03:20:46.3868686Z,2026-09-20T03:20:46.3868686Z
18.221.147.109,3128,http,yes,anonymous,US,United States,Columbus,AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",440,109,99.7,311,2026-09-20T03:23:11.0607456Z,2026-09-20T03:23:11.0607456Z
50.122.86.118,80,http,no,elite,US,United States,Bloomington,Frontier and Citizens Connected Network,"AS5650 Frontier Communications of America, Inc.",448,227,99.8,13587,2026-09-20T03:22:49.0911965Z,2026-09-20T03:22:49.0911965Z
47.85.37.60,1080,socks4,yes,elite,US,United States,Charlottesville,"Midwest Cable, Delta Centric LLC, Zenlayer Inc","AS45102 Alibaba (US) Technology Co., Ltd.",465,91,39.9,897,2026-09-20T03:22:27.0334237Z,2026-09-20T03:22:27.0334237Z
12.50.107.220,80,http,no,anonymous,US,United States,Tequesta,Loxahatchee - Tequesta,"AS7018 AT&T Enterprises, LLC",525,130,99.5,13666,2026-09-20T03:21:20.6939479Z,2026-09-20T03:21:20.6939479Z
12.50.107.219,80,http,no,anonymous,US,United States,Tequesta,Loxahatchee - Tequesta,"AS7018 AT&T Enterprises, LLC",526,130,99.4,13662,2026-09-20T03:22:10.8475729Z,2026-09-20T03:22:10.8475729Z
12.50.107.221,80,http,no,anonymous,US,United States,Tequesta,Loxahatchee - Tequesta,"AS7018 AT&T Enterprises, LLC",526,130,99.4,13711,2026-09-20T03:22:49.0712433Z,2026-09-20T03:22:49.0712433Z
12.50.107.222,80,http,no,anonymous,US,United States,Tequesta,Loxahatchee - Tequesta,"AS7018 AT&T Enterprises, LLC",526,130,99.5,13670,2026-09-20T03:22:49.0713462Z,2026-09-20T03:22:49.0713462Z
67.207.92.87,1088,socks5,yes,elite,US,United States,North Bergen,Digital Ocean,"AS14061 DigitalOcean, LLC",529,86,69.2,6731,2026-09-20T03:24:58.9976503Z,2026-09-20T03:24:58.9976503Z
34.44.49.215,80,http,no,elite,US,United States,Council Bluffs,Google Cloud (us-central1),AS396982 Google LLC,534,131,99.8,13725,2026-09-20T03:22:49.0816992Z,2026-09-20T03:22:49.0816992Z
162.120.16.210,1080,socks5,yes,elite,US,United States,New York,HOSTKEY,AS395839 HOSTKEY,557,87,57.7,1198,2026-09-20T03:24:16.8813265Z,2026-09-20T03:24:16.8813265Z
137.66.1.45,80,http,no,transparent,US,United States,Chicago,Latitude.sh,AS262287 Latitude.sh LTDA,559,4,98.6,13761,2026-09-20T03:21:42.5954995Z,2026-09-20T03:21:42.5954995Z
12.50.107.217,80,http,no,anonymous,US,United States,Tequesta,Loxahatchee - Tequesta,"AS7018 AT&T Enterprises, LLC",586,130,99.3,13664,2026-09-20T03:24:55.9960956Z,2026-09-20T03:24:55.9960956Z
52.226.76.91,80,http,no,transparent,US,United States,Boydton,Microsoft Azure Cloud (eastus),AS8075 Microsoft Corporation,586,94,81.3,4771,2026-09-20T03:24:59.0651710Z,2026-09-20T03:24:59.0651710Z
83.147.217.103,1080,socks5,yes,elite,US,United States,New York,CloudExa-Hosting LTD,AS214861 CloudExa-Hosting LTD,609,97,100,485,2026-09-20T03:21:37.3979404Z,2026-09-20T03:21:37.3979404Z
107.150.41.226,18080,socks4,yes,elite,US,United States,Kansas City,Gventure,"AS33387 Nocix, LLC",615,124,99.9,2387,2026-09-20T03:20:12.2708169Z,2026-09-20T03:20:12.2708169Z
