ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
153.51.201.35,999,http,yes,transparent,VE,Venezuela,Ciudad Bolivia,"Valor Information Technologies, S.L","AS274849 GLOBALNET S&P, C.A.",512,172,99.4,2470,2026-09-24T17:03:57.2619729Z,2026-09-24T17:03:57.2619729Z
161.22.39.58,999,http,yes,transparent,VE,Venezuela,Barinas,"THUNDERNET, C.A",,513,171,99.2,125,2026-09-24T17:04:32.8744972Z,2026-09-24T17:04:32.8744972Z
201.71.2.26,999,http,yes,transparent,VE,Venezuela,Caracas,Inversiones FAROCA,"AS269920 INVERSIONES FAROCA, C.A.",596,173,62.3,1822,2026-09-24T17:01:04.3185039Z,2026-09-24T17:01:04.3185039Z
190.97.236.128,999,http,yes,transparent,VE,Venezuela,Barinas,"THUNDERNET, C.A",,725,192,98.8,11270,2026-09-24T17:01:32.1184218Z,2026-09-24T17:01:32.1184218Z
38.51.207.104,8080,http,yes,transparent,VE,Venezuela,Maracaibo,Tecnoven Services C.A,AS269730 TECNOVEN SERVICES CA,727,158,77.5,3834,2026-09-24T17:03:18.2500743Z,2026-09-24T17:03:18.2500743Z
201.71.2.27,999,http,yes,transparent,VE,Venezuela,Caracas,Inversiones FAROCA,"AS269920 INVERSIONES FAROCA, C.A.",746,172,57.4,1499,2026-09-24T17:00:52.7516110Z,2026-09-24T17:00:52.7516110Z
190.97.236.130,999,http,yes,transparent,VE,Venezuela,Mérida,Viginet C.A,AS263703 VIGINET C.A,834,187,86.9,2251,2026-09-24T17:02:39.3925931Z,2026-09-24T17:02:39.3925931Z
201.71.2.25,999,http,yes,transparent,VE,Venezuela,Caracas,Inversiones FAROCA,"AS269920 INVERSIONES FAROCA, C.A.",838,175,59.2,1169,2026-09-24T17:04:33.2032306Z,2026-09-24T17:04:33.2032306Z
190.97.236.129,999,http,yes,transparent,VE,Venezuela,Barinas,"THUNDERNET, C.A",,893,185,98.4,11266,2026-09-24T17:03:34.5713108Z,2026-09-24T17:03:34.5713108Z
190.97.241.106,999,http,yes,transparent,VE,Venezuela,Táriba,Viginet C.A,AS263703 VIGINET C.A,1023,2251,65.5,4274,2026-09-24T17:00:15.3589543Z,2026-09-24T17:00:15.3589543Z
201.71.2.24,999,http,yes,transparent,VE,Venezuela,Caracas,Inversiones FAROCA,"AS269920 INVERSIONES FAROCA, C.A.",1272,183,61.3,1541,2026-09-24T17:02:45.5189368Z,2026-09-24T17:02:45.5189368Z
