ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
42.96.18.62,1311,http,yes,transparent,VN,Vietnam,Quận Một,Long Van System Solution,AS131423 Branch of Long Van System Solution JSC - Hanoi,1035,231,91.9,8173,2026-09-06T20:37:07.6042951Z,2026-09-06T20:37:07.6042951Z
171.245.11.176,18080,http,yes,elite,VN,Vietnam,Haiphong,VIETEL,AS7552 Viettel Group,1133,274,100,129,2026-09-06T20:39:32.7379797Z,2026-09-06T20:39:32.7379797Z
14.251.13.20,8080,http,yes,elite,VN,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group,AS45899 VNPT Corp,1150,259,97.6,3720,2026-09-06T20:39:32.7407910Z,2026-09-06T20:39:32.7407910Z
14.161.10.46,80,http,no,anonymous,VN,Vietnam,Ho Chi Minh City,Vietnam Posts and Telecommunications Group,AS45899 VNPT Corp,1182,279,97,4185,2026-09-06T20:38:33.4900148Z,2026-09-06T20:38:33.4900148Z
58.187.162.191,1083,socks5,yes,elite,VN,Vietnam,Hanoi,Cloudflare WARP,"AS13335 Cloudflare, Inc.",1406,204,80.5,529,2026-09-06T20:38:53.3645145Z,2026-09-06T20:38:53.3645145Z
160.22.17.4,9988,socks5,yes,elite,VN,Vietnam,Quận Ba,TTT Data Encryption and Technology Co. LTD,AS45899 VNPT Corp,1636,264,54,1986,2026-09-06T20:40:01.6374326Z,2026-09-06T20:40:01.6374326Z
203.205.49.2,10156,http,yes,elite,VN,Vietnam,Mai Dich,CMC Telecom Infrastructure Company,AS45903 CMC Telecom Infrastructure Company,1720,201,50.5,186,2026-09-06T20:35:15.8415005Z,2026-09-06T20:35:15.8415005Z
203.205.49.2,10221,http,yes,elite,VN,Vietnam,Mai Dich,CMC Telecom Infrastructure Company,AS45903 CMC Telecom Infrastructure Company,1824,199,42,100,2026-09-06T20:38:42.2440430Z,2026-09-06T20:38:42.2440430Z
14.225.204.32,10800,socks5,yes,elite,VN,Vietnam,Hanoi,VNPT,AS135905 VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,1921,281,73.2,4137,2026-09-06T20:37:54.6185321Z,2026-09-06T20:37:54.6185321Z
210.211.113.36,80,http,yes,transparent,VN,Vietnam,Ho Chi Minh City,Viettel - CHT Company Ltd,AS38731 Vietel - CHT Compamy Ltd,1969,270,81.7,3665,2026-09-06T20:38:24.1150984Z,2026-09-06T20:38:24.1150984Z
210.211.113.37,80,http,yes,transparent,VN,Vietnam,Ho Chi Minh City,Viettel - CHT Company Ltd,AS38731 Vietel - CHT Compamy Ltd,2221,273,80,3770,2026-09-06T20:38:18.7199629Z,2026-09-06T20:38:18.7199629Z
203.205.49.2,10101,http,yes,elite,VN,Vietnam,Mai Dich,CMC Telecom Infrastructure Company,AS45903 CMC Telecom Infrastructure Company,2515,200,30,60,2026-09-06T20:38:48.5006640Z,2026-09-06T20:38:48.5006640Z
203.205.49.2,10207,http,yes,elite,VN,Vietnam,Mai Dich,CMC Telecom Infrastructure Company,AS45903 CMC Telecom Infrastructure Company,2826,196,41.5,65,2026-09-06T20:35:28.9569325Z,2026-09-06T20:35:28.9569325Z
210.211.113.34,80,http,yes,transparent,VN,Vietnam,Ho Chi Minh City,Viettel - CHT Company Ltd,AS38731 Vietel - CHT Compamy Ltd,2972,263,81.7,3639,2026-09-06T20:35:39.2807512Z,2026-09-06T20:35:39.2807512Z
203.205.49.2,10239,http,yes,elite,VN,Vietnam,Mai Dich,CMC Telecom Infrastructure Company,AS45903 CMC Telecom Infrastructure Company,3332,1241,21.4,42,2026-09-06T20:38:26.4495428Z,2026-09-06T20:38:26.4495428Z
210.211.113.35,80,http,yes,transparent,VN,Vietnam,Ho Chi Minh City,Viettel - CHT Company Ltd,AS38731 Vietel - CHT Compamy Ltd,4424,266,75,3282,2026-09-06T20:37:40.2418266Z,2026-09-06T20:37:40.2418266Z
203.205.49.2,10168,http,yes,elite,VN,Vietnam,Mai Dich,CMC Telecom Infrastructure Company,AS45903 CMC Telecom Infrastructure Company,4448,209,41.7,139,2026-09-06T20:40:04.3931557Z,2026-09-06T20:40:04.3931557Z
