ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
147.161.162.49,12784,http,yes,elite,ZA,South Africa,Johannesburg,Zscaler Jnb3,AS62044 Zscaler Switzerland GmbH,570,190,100,9,2026-09-18T01:08:47.4271425Z,2026-09-18T01:08:47.4271425Z
147.161.162.50,13523,http,yes,elite,ZA,South Africa,Johannesburg,Zscaler Johannesburg,AS62044 Zscaler Switzerland GmbH,580,188,100,9,2026-09-18T01:08:47.4353941Z,2026-09-18T01:08:47.4353941Z
102.208.228.90,8080,http,yes,elite,ZA,South Africa,Ducats,VPS1,AS328882 Sahdsoft Technologies CC,624,222,75.5,330,2026-09-18T01:09:58.7242457Z,2026-09-18T01:09:58.7242457Z
196.223.129.21,80,http,no,elite,ZA,South Africa,Cape Town,Herotel,AS328471 HERO TELECOMS (PTY) LTD,729,174,77.1,3305,2026-09-18T01:05:49.2039741Z,2026-09-18T01:05:49.2039741Z
147.161.162.50,13568,http,yes,elite,ZA,South Africa,Johannesburg,Zscaler Johannesburg,AS62044 Zscaler Switzerland GmbH,760,184,100,6,2026-09-18T01:08:41.8202954Z,2026-09-18T01:08:41.8202954Z
102.208.228.90,3128,http,yes,elite,ZA,South Africa,Ducats,VPS1,AS328882 Sahdsoft Technologies CC,763,190,71.5,344,2026-09-18T01:08:59.8902776Z,2026-09-18T01:08:59.8902776Z
147.161.162.46,14154,http,yes,elite,ZA,South Africa,Johannesburg,Zscaler Jnb3,AS62044 Zscaler Switzerland GmbH,770,186,100,6,2026-09-18T01:08:59.8939156Z,2026-09-18T01:08:59.8939156Z
147.161.162.49,12082,http,yes,elite,ZA,South Africa,Johannesburg,Zscaler Jnb3,AS62044 Zscaler Switzerland GmbH,771,183,100,3,2026-09-18T01:08:27.8986224Z,2026-09-18T01:08:27.8986224Z
147.161.162.49,13914,http,yes,elite,ZA,South Africa,Johannesburg,Zscaler Jnb3,AS62044 Zscaler Switzerland GmbH,775,186,100,3,2026-09-18T01:08:27.9093200Z,2026-09-18T01:08:27.9093200Z
147.161.162.50,11368,http,yes,elite,ZA,South Africa,Johannesburg,Zscaler Johannesburg,AS62044 Zscaler Switzerland GmbH,785,186,100,6,2026-09-18T01:08:47.6388207Z,2026-09-18T01:08:47.6388207Z
