ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
197.221.240.240,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,796,1236,78,3496,2026-08-20T04:23:56.6435390Z,2026-08-20T04:23:56.6435390Z
197.221.240.182,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,803,186,69.3,1462,2026-08-20T04:24:00.6269800Z,2026-08-20T04:24:00.6269800Z
41.220.16.210,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,817,2228,80.5,3253,2026-08-20T04:24:13.2347874Z,2026-08-20T04:24:13.2347874Z
41.220.16.208,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,867,2267,78.5,3273,2026-08-20T04:21:45.7708501Z,2026-08-20T04:21:45.7708501Z
197.221.249.198,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,867,1230,80.4,2896,2026-08-20T04:20:54.3148781Z,2026-08-20T04:20:54.3148781Z
197.221.234.253,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,904,193,78.8,3319,2026-08-20T04:24:28.6158910Z,2026-08-20T04:24:28.6158910Z
197.221.249.199,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,993,1203,79.3,3241,2026-08-20T04:22:35.6188049Z,2026-08-20T04:22:35.6188049Z
197.221.237.248,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,1901,193,78.2,3524,2026-08-20T04:21:51.1493983Z,2026-08-20T04:21:51.1493983Z
197.221.240.176,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,2165,193,79,3340,2026-08-20T04:21:29.3773698Z,2026-08-20T04:21:29.3773698Z
41.220.16.214,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,2864,194,78.7,3307,2026-08-20T04:19:55.8574392Z,2026-08-20T04:19:55.8574392Z
197.221.249.197,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,2984,193,80,3171,2026-08-20T04:23:02.2734872Z,2026-08-20T04:23:02.2734872Z
41.220.16.209,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,5991,2252,78.8,3388,2026-08-20T04:23:56.3933957Z,2026-08-20T04:23:56.3933957Z
41.220.16.218,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,6029,188,79.6,3324,2026-08-20T04:22:06.9159333Z,2026-08-20T04:22:06.9159333Z
41.220.16.211,80,http,no,anonymous,ZW,Zimbabwe,Harare,Telone HRE Runhare,AS37204 Telone PVT Ltd,7961,2225,80.3,3216,2026-08-20T04:20:23.4493179Z,2026-08-20T04:20:23.4493179Z
