ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
213.157.6.50,80,http,no,elite,DE,Germany,Dieburg,ENTEGA Medianet GmbH,AS12897 ENTEGA Medianet GmbH,17,8,100,1048,2026-08-06T13:32:06.1520808Z,2026-08-06T13:32:06.1520808Z
91.98.104.216,2222,http,yes,elite,DE,Germany,Falkenstein,Hetzner,AS24940 Hetzner Online GmbH,22,3,79.3,440,2026-08-06T13:34:38.5716743Z,2026-08-06T13:34:38.5716743Z
47.91.65.23,3128,http,no,transparent,DE,Germany,Frankfurt am Main,ALICLOUD-GM,"AS45102 Alibaba (US) Technology Co., Ltd.",23,4,96,1031,2026-08-06T13:31:41.8182123Z,2026-08-06T13:31:41.8182123Z
2.28.30.58,3128,http,yes,transparent,DE,Germany,Nuremberg,Hetzner,AS24940 Hetzner Online GmbH,24,3,100,23,2026-08-06T13:32:02.5703660Z,2026-08-06T13:32:02.5703660Z
91.239.211.83,8443,http,yes,elite,DE,Germany,Frankfurt am Main,Fabian Hars,AS57043 HOSTKEY B.V.,26,4,98.1,213,2026-08-06T13:32:38.2261001Z,2026-08-06T13:32:38.2261001Z
142.132.179.50,80,http,no,anonymous,DE,Germany,Falkenstein,Hetzner,AS24940 Hetzner Online GmbH,29,3,99.1,990,2026-08-06T13:30:45.9622733Z,2026-08-06T13:30:45.9622733Z
87.120.216.231,65000,http,yes,elite,DE,Germany,Frankfurt am Main,WAIcore Ltd,AS213887 WAIcore Ltd,33,3,96,521,2026-08-06T13:31:29.2694291Z,2026-08-06T13:31:29.2694291Z
152.53.20.190,20000,http,yes,elite,DE,Germany,Nuremberg,ANX,AS197540 netcup GmbH,50,3,93.3,1071,2026-08-06T13:32:32.2376506Z,2026-08-06T13:32:32.2376506Z
213.33.126.130,80,http,no,elite,AT,Austria,Vienna,Telekom Austria TA AG,AS8447 A1 Telekom Austria AG,52,25,100,1048,2026-08-06T13:32:32.2625795Z,2026-08-06T13:32:32.2625795Z
51.77.81.127,5555,http,yes,transparent,DE,Germany,Limburg an der Lahn,Biliim Teknolojileri Tic. Ltd. ti. ALTINSOFT,AS16276 OVH SAS,63,11,100,23,2026-08-06T13:32:02.6172414Z,2026-08-06T13:32:02.6172414Z
