ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
103.237.102.191,11111,http,yes,elite,DE,Germany,Frankfurt am Main,Franet,AS62610 Zenlayer Inc,30,4,99.2,4625,2026-08-19T06:51:55.8199312Z,2026-08-19T06:51:55.8199312Z
45.144.54.40,1080,socks5,yes,elite,DE,Germany,Frankfurt am Main,Aeza International LTD,AS210644 AEZA GROUP LLC,43,2047,90.4,748,2026-08-19T06:52:26.4848618Z,2026-08-19T06:52:26.4848618Z
77.239.106.24,1080,socks5,yes,elite,DE,Germany,Frankfurt am Main,"Cloud Hosting Solutions, Limited",AS210546 CHSL ONE LTD,57,4,97.8,231,2026-08-19T06:54:11.5168997Z,2026-08-19T06:54:11.5168997Z
159.195.49.27,8888,http,yes,elite,DE,Germany,Nuremberg,NETCUP-KVM,AS197540 netcup GmbH,61,4,81.5,4670,2026-08-19T06:50:01.0410070Z,2026-08-19T06:50:01.0410070Z
5.129.228.92,443,http,yes,elite,NL,The Netherlands,Amsterdam,Cloudflare WARP,"AS13335 Cloudflare, Inc.",62,10,94.6,298,2026-08-19T06:52:40.3033465Z,2026-08-19T06:52:40.3033465Z
204.76.203.9,8080,http,yes,elite,NL,The Netherlands,Eygelshoven,Intelligence Hosting LLC,AS51396 Pfcloud UG,66,12,99.7,1365,2026-08-19T06:50:53.4624385Z,2026-08-19T06:50:53.4624385Z
185.141.26.131,3128,http,yes,transparent,RO,Romania,Bucharest,IP Solus Inc,AS199834 IP Solus Inc,70,10,99.4,686,2026-08-19T06:54:33.8761186Z,2026-08-19T06:54:33.8761186Z
204.76.203.9,3128,http,yes,elite,NL,The Netherlands,Eygelshoven,Intelligence Hosting LLC,AS51396 Pfcloud UG,71,12,99.9,3487,2026-08-19T06:53:15.0700660Z,2026-08-19T06:53:15.0700660Z
160.238.65.9,3128,http,yes,transparent,NL,The Netherlands,Amsterdam,Superhub Limited,AS142019 GZ REMITTANCE (CHINA) INDUSTRY LIMITED,131,1047,75.9,54,2026-08-19T06:54:12.6343552Z,2026-08-19T06:54:12.6343552Z
160.238.65.3,3128,http,yes,transparent,NL,The Netherlands,Amsterdam,Superhub Limited,AS142019 GZ REMITTANCE (CHINA) INDUSTRY LIMITED,138,16,74.5,51,2026-08-19T06:53:32.9898768Z,2026-08-19T06:53:32.9898768Z
160.238.65.2,3128,http,yes,transparent,NL,The Netherlands,Amsterdam,Superhub Limited,AS142019 GZ REMITTANCE (CHINA) INDUSTRY LIMITED,140,17,77.4,53,2026-08-19T06:54:00.6231395Z,2026-08-19T06:54:00.6231395Z
176.111.37.216,39811,http,yes,transparent,UA,Ukraine,Dobropol'ye,Cogento Backbone Limited,AS214743 Cogento Backbone Limited,144,24,97,4383,2026-08-19T06:53:48.7176343Z,2026-08-19T06:53:48.7176343Z
176.111.37.5,39811,http,yes,transparent,UA,Ukraine,Dobropol'ye,Cogento Backbone Limited,AS214743 Cogento Backbone Limited,152,24,98.3,4412,2026-08-19T06:50:23.2820034Z,2026-08-19T06:50:23.2820034Z
160.238.65.5,3128,http,yes,transparent,NL,The Netherlands,Amsterdam,Superhub Limited,AS142019 GZ REMITTANCE (CHINA) INDUSTRY LIMITED,163,1028,72.5,51,2026-08-19T06:50:38.5226835Z,2026-08-19T06:50:38.5226835Z
160.238.65.7,3128,http,yes,transparent,NL,The Netherlands,Amsterdam,Superhub Limited,AS142019 GZ REMITTANCE (CHINA) INDUSTRY LIMITED,164,1027,72.5,51,2026-08-19T06:50:38.5231709Z,2026-08-19T06:50:38.5231709Z
5.188.159.23,2080,socks4,yes,elite,RU,Russia,St Petersburg,JSC Selectel,AS49505 JSC Selectel,190,35,95.4,152,2026-08-19T06:52:01.4323155Z,2026-08-19T06:52:01.4323155Z
