ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
213.157.6.50,80,http,no,elite,DE,Germany,Dieburg,ENTEGA Medianet GmbH,AS12897 ENTEGA Medianet GmbH,17,8,100,261,2026-08-03T19:13:43.4922258Z,2026-08-03T19:13:43.4922258Z
152.53.20.190,20000,http,yes,elite,DE,Germany,Nuremberg,ANX,AS197540 netcup GmbH,19,0,98.9,262,2026-08-03T19:13:13.3987575Z,2026-08-03T19:13:13.3987575Z
47.91.65.23,3128,http,no,transparent,DE,Germany,Frankfurt am Main,ALICLOUD-GM,"AS45102 Alibaba (US) Technology Co., Ltd.",21,3,100,260,2026-08-03T19:13:13.4030842Z,2026-08-03T19:13:13.4030842Z
142.132.179.50,80,http,no,anonymous,DE,Germany,Falkenstein,Hetzner,AS24940 Hetzner Online GmbH,24,3,100,260,2026-08-03T19:13:45.4846531Z,2026-08-03T19:13:45.4846531Z
159.195.49.27,1080,socks5,yes,elite,DE,Germany,Nuremberg,NETCUP-KVM,AS197540 netcup GmbH,27,3,89.7,263,2026-08-03T19:10:53.5739387Z,2026-08-03T19:10:53.5739387Z
46.37.123.166,1081,socks5,yes,elite,DE,Germany,Frankfurt am Main,Freakhosting LTD,AS215703 FREAKHOSTING LTD,34,3,92.6,272,2026-08-03T19:13:26.5205489Z,2026-08-03T19:13:26.5205489Z
109.199.119.160,80,http,no,elite,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,34,6,99.6,261,2026-08-03T19:13:45.4990848Z,2026-08-03T19:13:45.4990848Z
116.202.108.111,3128,http,no,transparent,DE,Germany,Falkenstein,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,39,3,100,260,2026-08-03T19:13:26.5258356Z,2026-08-03T19:13:26.5258356Z
213.33.126.130,80,http,no,elite,AT,Austria,Vienna,Telekom Austria TA AG,AS8447 A1 Telekom Austria AG,52,26,100,261,2026-08-03T19:13:51.5512442Z,2026-08-03T19:13:51.5512442Z
213.136.92.91,1080,socks5,yes,elite,FR,France,Lauterbourg,Contabo GmbH,AS51167 Contabo GmbH,52,6,100,29,2026-08-03T19:13:26.5424095Z,2026-08-03T19:13:26.5424095Z
80.74.54.148,3128,http,no,anonymous,DE,Germany,Mönchengladbach,DGB Network,AS60294 Deutsche Glasfaser Wholesale GmbH,55,10,93.3,253,2026-08-03T19:13:26.5469777Z,2026-08-03T19:13:26.5469777Z
163.172.167.48,80,http,no,elite,FR,France,Paris,ONLINE,AS12876 Scaleway SAS,60,14,75.4,256,2026-08-03T19:15:17.8960430Z,2026-08-03T19:15:17.8960430Z
62.210.215.36,80,http,no,anonymous,FR,France,Paris,ONLINE,AS12876 Scaleway SAS,64,14,35.7,14,2026-08-03T19:13:21.4853861Z,2026-08-03T19:13:21.4853861Z
178.212.144.7,80,http,no,transparent,PL,Poland,Sokółka,,,66,34,100,261,2026-08-03T19:13:31.5246676Z,2026-08-03T19:13:31.5246676Z
103.237.102.191,11111,http,yes,elite,DE,Germany,Frankfurt am Main,Franet,AS62610 Zenlayer Inc,71,4,99.6,261,2026-08-03T19:14:10.0894456Z,2026-08-03T19:14:10.0894456Z
212.47.232.28,80,http,no,elite,FR,France,Paris,ONLINE,AS12876 Scaleway SAS,72,14,91.3,241,2026-08-03T19:13:19.4972671Z,2026-08-03T19:13:19.4972671Z
77.110.102.252,1080,socks5,yes,elite,NL,The Netherlands,Amsterdam,Aeza Group LLC,AS210644 AEZA GROUP LLC,74,9,97,265,2026-08-03T19:13:31.5078564Z,2026-08-03T19:13:31.5078564Z
